stage,eye,fast.muscle,fin.epithelia,glial,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,spinal.cord,vasculature
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0.81,0,0,0,0,0.81,0.81,0,0,1.61,1.61,0
 48-58,4.02,0,0,0,0,0,0.57,0,0,4.02,0.57,0
 60-70,4.91,0,0,0.98,0,0,1.96,0,0,11.78,0,0
 72-82,2.94,0,0,0,0,0,0.98,0.98,0.98,11.78,0,0
 84-94,0,0,1.06,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,1.09,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0.77,0,0,2.3,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0
