stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,8.06,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0.57,0.57,0,0,4.02,0.57,0,0,0.57,1.15,0,0
 60-70,0,0.98,0,0,0.98,0.98,0,0,0,9.82,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,2.94,4.91,0,0,0,14.72,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,4.25,2.12,0,1.06,0,4.25,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,2.19,0,4.37,0,0,1.09,0,0,0,1.09
108-118,0,0,0.77,0,0,3.83,0,0,0.77,1.53,0.77,0,0,0,0,0.77,0
120,0,0,0,0,5.88,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0
