stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,10.51,0,0,26.29,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,136.69,10.51,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,1,9,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,4,40,0,0,1,1,0,0,8,0,7,9,0,0,0,0,1
 24-34,0,0,0,0.82,1.64,0,7.39,0,0,1.64,0,0,0,0.82,0,0,0,0,0,4.93,0,0,3.28,55,0,1.64,1.64,0,0,1.64,0,0,0,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,18.53,0,0.81,2.42,0,0,0,0.81,0,0,0,0,0,6.45,0,0,2.42,70.09,0,0,0.81,0,0,2.42,0,0,0,12.09,0,0,0,0,0
 48-58,0,0,0,0,0,0,17.79,0,0.57,5.16,0,0,0.57,0,0,0.57,0,0,0,14.35,0,0,2.87,33.85,0,1.15,0,0,0.57,0.57,0,0,0,10.9,0,0,0,0,0.57
 60-70,0.98,0,0,0,1.96,0,23.56,0,0,6.87,0,0,0,0.98,0,0,0,0.98,0,10.8,0,0,0,41.22,0.98,0,0.98,0,0,2.94,0,0,0,6.87,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,18.65,0,0,10.8,0,0,0,0,0,0,0,0,0,18.65,0,0.98,4.91,52.03,0,1.96,0,0,0,4.91,0,0,0,3.93,0.98,1.96,3.93,0,0.98
 84-94,0,0,0,0,1.06,2.12,13.81,1.06,0,6.37,2.12,1.06,0,4.25,0,0,0,0,1.06,9.56,0,1.06,3.19,20.18,0,1.06,0,0,0,3.19,0,0,0,1.06,0,0,2.12,0,2.12
 96-106,0,0,1.09,0,1.09,3.28,17.49,0,0,4.37,1.09,0,2.19,3.28,0,0,3.28,1.09,0,7.65,1.09,0,1.09,15.3,1.09,3.28,1.09,0,0,4.37,0,0,0,3.28,1.09,0,1.09,1.09,1.09
108-118,0,0,0,0,5.36,3.83,16.09,0,0.77,8.43,0.77,0,0,2.3,0,0.77,0.77,1.53,0,17.62,0,0,3.06,32.94,0,0.77,0,0,0,4.6,0,0,0,1.53,0,0,2.3,0.77,0.77
120,0,0,0,0,11.76,11.76,17.64,3.92,1.96,9.8,3.92,0,0,1.96,0,1.96,1.96,0,0,21.56,0,3.92,7.84,54.87,0,0,5.88,0,0,27.44,0,0,0,1.96,0,1.96,3.92,0,1.96
