stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,13,0,2,0
 24-34,0,0,0,1.64,0,0.82,0,1.64,0,0.82,0,0,0,2.46,0,0.82,61.56,20.52,0.82,0,0,0,27.91,0,8.21,0
 36-46,0,0,0,0,0,2.42,0,1.61,0,0,0,0,0,4.03,0,0,116.02,28.2,0.81,0,0,0,25.78,0,7.25,0
 48-58,0,0,0,1.15,0,37.3,0,1.72,0,0.57,0,0,0,2.3,0,0,158.37,19.51,0,0,0,0,33.85,0,2.87,1.15
 60-70,0,0,0,4.91,0,53,0,2.94,0,0,0,0,0,3.93,0,0.98,308.2,19.63,0,2.94,0,0,39.26,0.98,4.91,0
 72-82,0,0,0.98,1.96,0.98,74.61,0,12.76,0,1.96,0,0,0,3.93,1.96,0.98,220.87,21.6,3.93,3.93,0,0,18.65,0,2.94,0.98
 84-94,1.06,2.12,0,2.12,0,44.61,0,14.87,0,3.19,0,0,1.06,5.31,2.12,0,110.45,24.43,0,7.43,0,1.06,11.68,0,6.37,0
 96-106,0,1.09,0,4.37,1.09,28.41,0,5.46,0,6.56,1.09,2.19,0,10.93,1.09,2.19,72.13,34.97,2.19,7.65,1.09,0,10.93,1.09,5.46,0
108-118,0,0.77,0,5.36,0.77,14.55,0.77,2.3,0.77,1.53,0,0,0,8.43,2.3,0,98.81,13.02,2.3,3.06,0.77,0,1.53,0,3.83,0
120,0,0,0,5.88,0,11.76,0,7.84,0,0,0,0,1.96,3.92,1.96,1.96,80.35,15.68,0,7.84,0,0,1.96,0,3.92,0
