stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,1,2,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,0.82,0.82,0,0,0,0,1.64,0,1.64,22.98,0,0,0,0,0,0,7.39,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,3.22,0,0.81,20.14,0.81,0,0,1.61,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,8.03,0,0,3.44,0,0,0,0,0,2.3,0,1.15,25.25,0.57,0,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0.98,4.91,0,0,0.98,0,0.98,0,0,0.98,2.94,0,0.98,13.74,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,3.93,0,0.98,1.96,0,0,0,0,0,2.94,0,0,15.71,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,1.06,1.06,0,2.12,0,0,3.19,0,0,0,3.19,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,0,2.19,1.09,0,0,0,0,0,0,0,1.09,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,3.06,0,1.53,0.77,0,0.77,0,0,0.77,0,0,0.77,1.53,0,6.13,0,0,0,1.53,0,0,0,0.77,0,0,0
120,0,0,7.84,0,0,0,1.96,9.8,0,0,0,0,0,7.84,1.96,0,27.44,0,0,0,1.96,0,0,3.92,0,0,0,0
