stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0.82,0.82,0,0.82,9.85,0,0.82,0,0,0,0,0,1.64,0,0
 36-46,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,2.87,0.57,0,0,0,0,0,0.57,0,0,12.05,0,0,0.57,0,0,0,0,1.72,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,1.96,0,0,8.83,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,4.91,0,1.96,0,0,0,0,3.93,0,0,12.76,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,1.06,0,0,3.19,0,0,0,0,0,0,0,1.06,0,0
 96-106,1.09,0,2.19,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0.77,1.53,0.77,0,0.77,0.77,0.77,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
