stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste
 14-21,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,7,0,1,0,0,0,3,0
 24-34,0,0.82,0,0,4.1,0,3.28,0,0.82,0,0,0,0.82,0,3.28,22.98,1.64,0.82,0,0,0,5.75,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,20.95,1.61,0,0,0.81,0,8.06,0
 48-58,0,0,0.57,0,1.15,0,1.15,0,0,0,0,1.15,1.15,0,0.57,17.21,1.15,0.57,0,0,0,1.15,0
 60-70,0,1.96,5.89,0,1.96,0,3.93,0.98,0,0,0,0.98,2.94,0,0,35.33,1.96,0,0,0,0,11.78,0
 72-82,0,0.98,33.38,0,8.83,0.98,11.78,0,0,0,0,3.93,0.98,1.96,0,44.17,0,0.98,0,0,0,1.96,2.94
 84-94,1.06,2.12,26.55,0,8.5,0,8.5,1.06,0,0,0,4.25,0,0,0,25.49,2.12,1.06,0,0,0,3.19,1.06
 96-106,0,1.09,29.51,1.09,3.28,0,4.37,1.09,0,0,1.09,3.28,4.37,1.09,0,20.76,2.19,1.09,0,1.09,0,0,0
108-118,0,0.77,24.51,0.77,6.89,0,2.3,0,0,0.77,0,4.6,0.77,0,0,29.11,0.77,0,0,0,0.77,3.83,0
120,0,0,21.56,0,5.88,0,1.96,0,0,0,1.96,7.84,1.96,0,0,45.08,3.92,0,1.96,0,0,1.96,0
