stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,6,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0,8.21,1.64,0.82,0,0,0,0,9.85,0,0,17.24,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0.81,15.31,2.42,0,0,0,0,0,11.28,0,0,17.72,0,0
 48-58,0,0,0.57,0,3.44,0,5.74,0,1.15,0,0,0,0,0,0,5.74,0.57,1.15,30.41,2.3,0.57,0,0,0,0.57,10.33,0,0,14.92,0,0
 60-70,0,0,0,0,1.96,0,5.89,0,0,0,0,0,1.96,0,0,7.85,0,1.96,97.17,4.91,0.98,0,2.94,0,0,19.63,0,0.98,14.72,0,0
 72-82,0,0,0,0.98,11.78,0,34.36,0,0.98,0,0,0.98,0,0,0,19.63,0,0,97.18,11.78,0.98,0,0,0,0,29.45,0,0.98,48.1,4.91,0.98
 84-94,0,0,2.12,0,7.43,0,15.93,1.06,0,0,0,0,2.12,0,0,21.24,0,0,54.16,1.06,1.06,0,1.06,0,0,10.62,0,0,29.74,4.25,0
 96-106,0,0,2.19,2.19,8.74,0,21.86,0,1.09,2.19,0,0,3.28,0,0,19.67,0,0,45.9,6.56,2.19,0,1.09,0,1.09,5.46,1.09,0,45.9,1.09,0
108-118,0,0,0.77,1.53,5.36,0,19.92,0,0,0,2.3,0,1.53,1.53,0,23.74,0,0,57.45,1.53,0,0,0,0,0,4.6,0.77,0.77,22.21,1.53,0
120,0,0,3.92,0,5.88,1.96,25.48,0,0,0,1.96,1.96,1.96,1.96,0,17.64,0,3.92,64.67,1.96,3.92,0,0,0,0,13.72,0,0,39.2,1.96,0
