stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,3.28,0,0,0.82,0.82,17.24,0,0,0.82,12.31,0,0,0,0,0,0,0.82,0,3.28,0,0,1.64,1.64
 36-46,0,0,0,0,0,1.61,0,0,0,0,3.22,0,0,0,0,15.31,0,0,0,1.61,0,0,0,0,0,0,2.42,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,11.48,0,0,2.3,0,0.57,0,0,0,0.57,0,3.44,0.57,0.57,21.8,0,0,0,0,0,0,4.59,0,5.74,0,0,0.57,0.57
 60-70,0,0,0,0,0,2.94,6.87,0,0,0,0.98,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,1.96,0,2.94,0,0.98,0.98,0,0,0,0,6.87,0,2.94,8.83,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0
 84-94,1.06,0,0,0,1.06,3.19,8.5,0,1.06,2.12,1.06,0,0,0,0,0,1.06,0,4.25,3.19,0,0,0,0,0,0,16.99,0,1.06,1.06,0,0,0
 96-106,0,0,0,2.19,1.09,13.11,20.76,0,1.09,1.09,0,0,0,0,3.28,0,5.46,0,4.37,13.11,1.09,0,0,0,3.28,0,14.21,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0.77,4.6,31.4,0,5.36,0,0.77,1.53,0,0,0.77,0,3.83,0,4.6,7.66,0,0.77,0,0.77,1.53,0,24.51,0,0.77,0,0.77,1.53,0
120,0,0,0,0,1.96,1.96,25.48,1.96,5.88,0,1.96,0,1.96,0,0,0,1.96,0,0,23.52,0,0,0,0,3.92,0,13.72,0,1.96,0,1.96,1.96,0
