stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,1,1,1,4,0,1,0
 24-34,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0.82,31.19,0,0,0,0,0,0,7.39,0,0.82,0
 36-46,0,0,0.81,0,4.03,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,21.75,0.81,0,2.42,0,0,0,6.45,0,0,1.61
 48-58,0,0.57,0,0,9.18,0,0,1.72,0.57,0,0,0,0,0,0,2.3,0,0,0.57,15.49,0,0,0.57,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,12.76,0.98,0.98,2.94,0,0,0,0.98,0.98,0,0.98,3.93,0,0,0.98,24.54,0,0.98,0.98,0,0,0,1.96,0.98,0,0
 72-82,0,1.96,0,0,11.78,0,0,1.96,0.98,0,0,0,0,0,0,5.89,0,0,1.96,11.78,0,1.96,1.96,0,0,0,0.98,0,1.96,0
 84-94,0,1.06,0,0,6.37,0,0,3.19,0,1.06,2.12,0,0,0,0,4.25,1.06,0,0,3.19,0,0,4.25,0,0,0,1.06,0,0,0
 96-106,0,2.19,0,0,7.65,0,0,3.28,0,0,2.19,0,0,0,0,3.28,0,0,3.28,9.84,0,1.09,4.37,0,0,0,0,0,1.09,0
108-118,0,0.77,0,0.77,4.6,0,0,3.06,1.53,0,0,0,0,0.77,0,4.6,0,0.77,0.77,6.13,0,0,3.06,0,0,0,0.77,0,1.53,0
120,0,1.96,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,1.96,5.88,1.96,0,0,0,0,0,0,0,0,0
