stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,0,1,0,1,15,0,0,0,0,3,0,0,0
 24-34,0,0.82,3.28,0,0,0,0,0,0,0,0.82,2.46,0,0,19.7,0,0,0,0,0.82,3.28,0.82,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0,3.22,0,0.81,15.31,0,0,0,0,0,3.22,0,0
 48-58,0,0,6.89,0.57,0,2.87,0,0,0,0,0,3.44,0,0,16.64,0.57,0.57,0.57,0,0,3.44,0,0
 60-70,0,0,12.76,0,0,2.94,0.98,0,0,0,0,2.94,0,1.96,17.67,0,0,0,0,0,1.96,0,0
 72-82,0,0,4.91,0,0.98,3.93,0.98,0.98,0,0,0,8.83,0,0,24.54,0.98,0,0,0.98,0,2.94,0.98,0
 84-94,1.06,2.12,2.12,0,0,0,0,0,1.06,0,0,0,0,1.06,10.62,0,0,0,1.06,0,1.06,1.06,1.06
 96-106,1.09,0,1.09,0,0,2.19,0,1.09,0,0,0,3.28,0,0,3.28,0,1.09,0,1.09,0,1.09,2.19,1.09
108-118,0,0,1.53,0,0,0.77,0,0,0,0,0,3.83,0.77,0,6.13,0,0,0,0,0,0,0.77,0
120,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,1.96,21.56,0,0,0,0,0,0,1.96,0
