stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,1,0,1,9,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,36.12,0,4.1,0.82,0,0,0,0.82,0,0,8.21,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,10.47,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,58.81,0.81,9.67,1.61,0,0,0,0,0.81,0,11.28,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,13.2,0,0,1.72,0,0,0,0,0,0,0,0.57,0,0,0,70,0,6.31,0.57,0,0,0.57,0,0,0,5.74,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,177.66,0,0,7.85,0,0,0,0,0,0,0,2.94,0,0,0,88.34,0,3.93,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,2.94,0,1.96,2.94,648.88,0,1.96,35.34,0.98,0,0.98,0.98,0,0,0.98,10.8,0,0,1.96,137.43,0,7.85,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,3.19,0,554.38,3.19,1.06,16.99,0,0,0,1.06,1.06,0,0,4.25,0,0,1.06,93.46,0,8.5,0,0,0,2.12,0,0,0,5.31,1.06,0,0,3.19,0
 96-106,0,0,1.09,0,5.46,3.28,511.45,1.09,0,32.79,1.09,0,1.09,1.09,2.19,1.09,0,15.3,0,1.09,0,85.24,0,1.09,3.28,0,0,2.19,0,1.09,0,2.19,1.09,0,3.28,0,1.09
108-118,0,0,0.77,0,6.13,0.77,337.02,0,1.53,16.09,0,0,0.77,1.53,0,0,0,11.49,0.77,1.53,1.53,89.62,0.77,6.89,0.77,0,0,1.53,0,3.06,0,0.77,0,0.77,0,0,1.53
120,0,0,0,0,9.8,1.96,246.93,0,1.96,13.72,0,0,0,0,0,0,0,1.96,1.96,0,1.96,113.67,0,3.92,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0
