stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,iridophores,liver,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,12.89,0,0,0,0,0,0,0,0,25.78,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0.57,0,29.84,0,0,1.15,0,0,0.57,1.15,0,27.54,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,170.78,0,0,1.96,0,0,0,0,0,45.15,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0.98,0,519.3,0,0,1.96,0.98,0,0,4.91,0,86.39,0.98,0.98,0,0,0.98,0,0,0.98,0.98,0,0
 84-94,0,3.19,0,481.1,1.06,1.06,7.43,0,0,0,3.19,1.06,44.61,1.06,0,0,0,1.06,0,0,3.19,0,1.06,0
 96-106,0,3.28,0,412,0,0,7.65,0,1.09,2.19,4.37,0,61.2,1.09,0,0,1.09,2.19,0,0,1.09,0,0,1.09
108-118,0,1.53,0.77,297.96,0,0,16.09,0,0,0,5.36,0,49.02,0,0,0,0.77,0,0,0,0,0,0,0
120,0,1.96,0,329.24,0,0,13.72,1.96,0,0,1.96,0,68.59,0,0,0,0,0,1.96,0,1.96,0,0,0
