stage,axial,blastomeres,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,1,0,0,1,2,5,1,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,7.39,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,1.61,0,5.64,0,0,0,0,0,0.81
 48-58,0,0,0,2.3,0,0,0,0,0,0,0.57,1.15,0,6.31,0,0,0,0,1.72,0
 60-70,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,3.93,0,0.98,0,0,2.94,0
 72-82,0,0,0,2.94,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,0,6.37,0,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,0,0,0,0,0,2.19,0,2.19,0,0,0,0,0,0
108-118,0,0,0,4.6,0,0.77,0.77,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0
