stage,blastomeres,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,4.93,0,0,7.39,0,0,0,0,0,1.64,0,2.46,0,0
 36-46,0,0,0.81,0,0,1.61,0,0,0,8.86,0,1.61,8.86,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,1.15,0.57,0,0,2.3,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,1.96,0,0,0.98,0,0,0,8.83,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,5.89,0,0,0,0,0,0,0,0,1.96,0,2.94,0.98,0.98
 84-94,0,0,6.37,0,0,1.06,0,0,0,7.43,1.06,1.06,5.31,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,5.46,0,0,1.09,10.93,1.09,0,2.19,1.09,0,0,1.09,0,1.09,0,1.09,2.19,1.09
108-118,0,0.77,3.83,1.53,0.77,3.06,0,0.77,0,8.43,0,1.53,1.53,0,0,0.77,0,0.77,1.53,0,3.06,0.77,0.77
120,0,0,0,0,0,1.96,0,1.96,0,7.84,1.96,0,3.92,0,0,0,0,0,0,1.96,1.96,0,0
