stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord,taste
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,4.83,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,13.2,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,12.76,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,6.87,0,0,0,0.98,20.61,0,0,0,1.96
 84-94,0,0,0,1.06,0,0,0,0,7.43,0,0,1.06,2.12,10.62,0,1.06,0,3.19
 96-106,0,0,0,1.09,0,2.19,0,0,9.84,1.09,1.09,0,3.28,14.21,0,0,0,9.84
108-118,0,0.77,0,0,0,0,0.77,0.77,13.02,0,0,0,0.77,9.19,0,0,0,11.49
120,0,0,0,0,1.96,0,0,0,15.68,0,0,3.92,0,17.64,0,5.88,0,11.76
