stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,1,3,1,3,6,0,1,0
 24-34,0,0,1.64,0,0.82,0.82,0,1.64,0,0,0.82,0,0,0.82,0,3.28,0,0,18.88,3.28,0.82,0.82,0,0,0,0,1.64,1.64,6.57,0,9.85,0
 36-46,0,0,0.81,0,4.83,0,1.61,0.81,0.81,0,0.81,0,0,0,0.81,8.06,0,3.22,16.11,9.67,0,0.81,0,0,0.81,0,0.81,0,5.64,0,5.64,0
 48-58,0,0,0.57,0,8.61,0,1.15,0,0,0,0,0,0,0.57,0,25.25,0,0,10.33,2.87,0,0.57,0,0,0,0,1.15,0,6.31,0,5.16,0
 60-70,0,0,0,0,31.41,0,0.98,2.94,0,0,0,0,0,0,0.98,53.98,0.98,1.96,22.58,0.98,0,1.96,0,0,0,0,1.96,0,8.83,0,4.91,0
 72-82,0,0,0,0,73.62,0,0,4.91,0,0,1.96,0,0.98,0.98,0,65.77,0,0.98,19.63,0,0,0,0,0,0,0,0.98,0,0.98,0,8.83,0.98
 84-94,0,0,0,0,41.42,0,2.12,7.43,1.06,0,0,0,0,1.06,0,66.91,0,1.06,20.18,1.06,1.06,3.19,0,1.06,0,0,2.12,0,2.12,0,3.19,1.06
 96-106,0,0,1.09,0,32.79,0,0,4.37,1.09,0,0,0,0,1.09,0,41.53,0,2.19,13.11,0,0,1.09,0,0,0,0,1.09,0,0,0,3.28,0
108-118,0,0,0.77,0,27.57,0,1.53,1.53,0.77,0,0,0.77,0,0.77,0,31.4,0,1.53,16.09,0.77,0,2.3,0,0,0,0,2.3,0,2.3,0.77,2.3,0
120,0,0,0,0,15.68,0,0,1.96,0,0,0,0,0,0,1.96,23.52,0,0,17.64,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0
