stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,0,0,2.63,0,0,0,0,10.51,5.26,0,5.26,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,9.44,0,0,18.88,3.15,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,1,0,17,2,0,2,0,2,2,4,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,39.4,0,0,0,0,0,0.82,9.85,0
 36-46,0,0,0,2.42,0.81,0,0,0,0,0,40.28,0,0.81,0,0,0,0,5.64,0
 48-58,0,0,0,1.72,2.87,0,0,0,1.15,0,39.02,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0.98,0.98,0,0.98,0,1.96,0,47.11,0,1.96,0,0,0,0,2.94,0
 72-82,0,0,0,3.93,5.89,0,0.98,0,1.96,0,68.72,0,6.87,0,0,0,0,1.96,0.98
 84-94,0,0,0,4.25,4.25,0,0,0,0,0,37.17,0,8.5,0,0,0,0,2.12,0
 96-106,0,0,1.09,4.37,6.56,0,0,0,1.09,1.09,26.23,0,4.37,0,0,0,0,0,0
108-118,0,0,0.77,2.3,7.66,0,0.77,0.77,0.77,0,36.77,0,8.43,0,0,0,0,0,0
120,0,0,3.92,0,1.96,0,1.96,0,0,0,39.2,0,0,0,0,0,0,3.92,0
