stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,18,3,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,32.83,0,0.82,0,0,0,0,0,0,14.78,0,0,0,0,0,44.33,0,0.82,0,0,0.82,2.46,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0,20.95,0,0,0,0,0,31.42,0,0,0,0,0,3.22,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,1.15,0,0.57,0,2.3,0,0.57,0,0.57,18.36,0,0,0,0,0.57,44.18,0,2.87,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,4.91,0,0,0,0,13.74,0,1.96,0,0.98,0,68.71,0,1.96,0,0,0,9.82,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,6.87,0,0.98,0,0,11.78,0,0,0,3.93,8.83,0,0.98,0,0,0,163.94,0,7.85,0,0,0,52.03,0.98,0,0,0,0,1.96,0,1.96,0,0,3.93,0,0
 84-94,0,8.5,3.19,3.19,3.19,0,13.81,1.06,0,1.06,3.19,7.43,0,0,0,1.06,0,520.4,0,5.31,0,0,0,38.23,1.06,0,0,0,1.06,4.25,1.06,0,2.12,0,1.06,0,1.06
 96-106,0,9.84,1.09,24.04,6.56,2.19,49.18,2.19,1.09,2.19,15.3,13.11,3.28,6.56,4.37,1.09,0,798.87,0,30.6,4.37,1.09,4.37,210.92,4.37,1.09,1.09,0,1.09,20.76,0,3.28,1.09,0,9.84,2.19,2.19
108-118,0,6.13,4.6,11.49,6.89,2.3,58.98,0.77,3.83,1.53,19.15,12.26,0.77,4.6,0,0.77,1.53,1533.46,0.77,33.7,0,0.77,7.66,160.09,0.77,1.53,1.53,0,1.53,12.26,2.3,3.06,1.53,1.53,2.3,0,4.6
120,0,11.76,0,15.68,1.96,0,29.4,0,5.88,0,9.8,5.88,0,1.96,0,1.96,0,830.95,0,23.52,1.96,0,1.96,96.03,1.96,0,0,0,0,11.76,3.92,1.96,0,0,3.92,0,0
