stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,4.91,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,4.25,0,0,0,1.06,4.25,0
 96-106,0,0,1.09,0,5.46,0,1.09,0,0,7.65,3.28,0,0,2.19,2.19,0
108-118,0,1.53,0.77,0.77,0,0.77,0,0.77,0,2.3,0.77,0.77,0,0.77,2.3,0.77
120,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,0
