stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,87,1,4,0,1,0,0,0,0,0,0,0,0,1,0,5,1,0,0,38,0,6,5,0,0,0,1,0,1,3,3,0,0,1,0,0
 24-34,0,0,80.44,0,0.82,0,32.01,0,0,0,0.82,0,0,0,0.82,0,0,111.64,1.64,0,0.82,282.37,0.82,34.48,29.55,0,0,1.64,0,0,0.82,0,5.75,0,0,0.82,0,0
 36-46,0,0,16.92,0,2.42,0,14.5,0,1.61,0.81,0,0,0,0,0,0,0.81,145.02,0,0,0.81,434.26,0,14.5,16.92,0,0,0,0,0,0,0,10.47,0,0,0,0,0
 48-58,0.57,0,11.48,0.57,21.8,0.57,15.49,0,4.02,0,0,0,0.57,0,1.15,0,0,234.69,0,1.15,1.15,459.04,0.57,10.9,26.4,0,0,2.87,0,0,0,0,16.07,0,0.57,0.57,0,0
 60-70,0.98,0,9.82,0.98,12.76,0,9.82,0.98,1.96,0,0,0,0,0,0,0,0,297.4,0,0,0,446.59,0,10.8,17.67,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,9.82,0.98,39.27,0,11.78,0.98,19.63,0,0,0.98,0,2.94,0,0.98,0,409.35,0,4.91,1.96,401.5,0,13.74,39.27,0,0,0,0,0.98,0,0,4.91,1.96,0.98,0,0,0.98
 84-94,0,0,16.99,1.06,54.16,0,18.05,0,12.74,1.06,0,1.06,1.06,1.06,0,0,0,315.43,0,1.06,0,238.96,1.06,23.36,46.73,0,0,4.25,0,0,0,0,4.25,0,0,1.06,2.12,1.06
 96-106,0,0,15.3,1.09,34.97,1.09,15.3,0,15.3,3.28,0,1.09,0,1.09,0,0,0,250.26,2.19,7.65,2.19,185.78,1.09,34.97,45.9,0,1.09,5.46,0,0,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,6.89,1.53,17.62,0,12.26,0.77,6.13,0.77,0,3.06,0,0.77,0,0.77,0,216.77,0,5.36,0,282.64,0,24.51,45.19,0,0,2.3,0,0,0,0,0,0.77,0,0,0.77,0.77
120,0,0,21.56,1.96,17.64,0,13.72,0,9.8,1.96,0,0,1.96,0,0,7.84,0,150.9,0,0,0,370.4,0,17.64,25.48,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
