stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,44.69,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,207.7,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,33,4,0,0,0,0,0,1,1,0,0,0,0,0,20,0,0,58,16,340,2,1,4,0,1,6,1,0,17,19,0,0,0,0,0
 24-34,0,0,0,0,26.27,0.82,2.46,0,0,0.82,0,0,0,0.82,0,0,0,0,64.85,0,0,59.92,37.76,97.68,19.7,0.82,0,0,4.1,0.82,0,0.82,1.64,15.6,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,4.03,2.42,0.81,3.22,0,0,0,0.81,0,0.81,0,0.81,106.35,0,0,43.51,28.2,83.79,29,1.61,0,0,8.06,0,0,1.61,0,4.83,0,0,0,0,0
 48-58,0.57,0,0.57,0,3.44,0,10.33,0.57,0,6.31,1.15,0,0,1.15,0,0,1.15,0,176.73,0.57,1.15,21.8,32.13,44.18,20.08,6.31,0,0,5.74,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,10.8,0.98,0,10.8,2.94,0,0,1.96,0,0,0.98,0,307.22,0,3.93,14.72,42.21,33.37,29.45,4.91,0,0,0.98,0,0,0,0,4.91,0,2.94,0,0,0
 72-82,0,0,0,0,3.93,0,9.82,0,0,12.76,1.96,0,0,0.98,1.96,0,0,0,325.91,0,0.98,11.78,30.43,23.56,41.23,4.91,0,0.98,14.72,0,0,0,0,7.85,0,0.98,1.96,1.96,3.93
 84-94,0,0,0,0,14.87,0,13.81,2.12,2.12,8.5,2.12,0,0,2.12,2.12,0,0,0,231.52,0,1.06,11.68,18.05,39.3,24.43,6.37,0,0,31.86,0,0,0,0,3.19,1.06,2.12,1.06,0,0
 96-106,0,0,0,0,7.65,0,9.84,0,0,9.84,0,0,0,1.09,1.09,0,1.09,1.09,160.65,1.09,3.28,4.37,21.86,18.58,45.9,10.93,0,0,28.41,0,0,1.09,0,0,2.19,1.09,1.09,0,0
108-118,0,0,0,0,16.85,0,6.13,0.77,3.06,6.89,1.53,1.53,0,1.53,3.06,0,0,0,98.04,0,2.3,6.13,27.57,24.51,31.4,6.13,0,0,19.15,0,0,0,0,0.77,0.77,0,1.53,0.77,0
120,0,0,0,0,21.56,0,1.96,1.96,3.92,3.92,0,1.96,0,0,1.96,1.96,0,0,86.23,0,0,7.84,21.56,33.32,13.72,7.84,0,0,9.8,0,0,0,0,0,0,0,3.92,0,0
