stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,6.29,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,100,303,41,0,17,0,0,0,0,48,3,0,2,0,1,0,0,40,2,0,30,66,31,0,3,0,0,9,1,5,61,134,284,33,0,0,4,0,0
 24-34,0.82,0,0.82,46.79,94.4,0.82,0,23.8,15.6,2.46,2.46,2.46,20.52,5.75,0,2.46,1.64,2.46,8.21,0,88.65,0,1.64,77.98,299.61,58.28,20.52,2.46,0,1.64,9.03,0,0,36.12,59.92,219.99,98.5,0,0,22.98,0,0
 36-46,0,0,0,4.03,30.62,0.81,0,35.45,17.72,0.81,7.25,2.42,11.28,2.42,0,0,3.22,8.06,7.25,1.61,102.32,0.81,6.45,38.67,614.73,45.12,41.89,2.42,0.81,0.81,7.25,0,0,23.36,15.31,6.45,136.96,0,0.81,16.11,0,0
 48-58,0,0,0,4.02,41.89,0,0,120.5,16.64,5.16,14.92,17.21,8.03,4.59,0.57,0,6.31,5.74,4.59,1.72,112.47,0,8.03,40.74,844.64,20.66,26.4,1.72,0,2.3,9.18,0,0,17.21,4.59,0,121.07,0,1.15,8.61,0,1.72
 60-70,0,0,0,0,48.09,0.98,0,445.61,36.32,5.89,18.65,28.46,8.83,3.93,0.98,0.98,24.54,5.89,4.91,0.98,121.71,0,18.65,33.37,1180.77,13.74,25.52,2.94,0,2.94,7.85,0,0,24.54,4.91,0,145.27,0.98,4.91,7.85,7.85,2.94
 72-82,0,0,3.93,0.98,76.57,2.94,0,477.09,22.58,7.85,32.39,78.53,6.87,5.89,2.94,1.96,18.65,6.87,1.96,0.98,185.53,1.96,21.6,39.27,875.64,3.93,54.97,7.85,0,5.89,15.71,0,0,39.27,1.96,0,77.55,1.96,11.78,33.38,17.67,0.98
 84-94,0,0,0,2.12,141.25,0,0,332.42,40.36,19.12,20.18,57.35,11.68,4.25,2.12,1.06,19.12,6.37,3.19,0,160.37,1.06,29.74,27.61,458.8,7.43,46.73,6.37,0,2.12,44.61,1.06,0,97.71,4.25,0,43.54,7.43,5.31,25.49,19.12,0
 96-106,0,0,2.19,3.28,198.9,2.19,0,248.08,29.51,13.11,18.58,74.31,8.74,5.46,6.56,6.56,14.21,6.56,2.19,3.28,122.4,4.37,17.49,24.04,342.06,2.19,68.85,8.74,0,14.21,32.79,0,0,78.68,3.28,0,20.76,6.56,10.93,43.71,26.23,2.19
108-118,0,0,1.53,2.3,177.7,3.06,2.3,182.3,26.04,32.94,15.32,47.49,11.49,0.77,4.6,6.13,12.26,2.3,3.83,0,101.11,2.3,13.02,24.51,383.75,2.3,51.32,9.19,0,13.79,30.64,0,0,79.66,3.06,0,8.43,7.66,11.49,32.94,13.02,0
120,1.96,0,3.92,0,158.74,7.84,0,174.42,21.56,29.4,9.8,60.75,3.92,0,9.8,9.8,9.8,7.84,1.96,0,82.31,3.92,9.8,27.44,466.43,1.96,35.28,3.92,0,11.76,27.44,0,0,52.91,0,0,15.68,13.72,7.84,39.2,7.84,0
