stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0.82,0,5.75,0,0,0
 36-46,0,0,0,1.61,0,0,0,0.81,0,0,0,0.81,0,37.06,0,0,0,0,9.67,0,13.7,0,0,0
 48-58,0,0.57,0,6.31,0.57,1.15,0,0,0,0,0,0.57,0,18.94,1.72,0,0,0,14.92,0,9.18,0,0.57,0
 60-70,0,0,0,27.48,1.96,0,0,0,0.98,0,0,0.98,0.98,13.74,0.98,0,0,0,4.91,0,7.85,0,0,0.98
 72-82,0,0.98,0,23.56,3.93,1.96,0,0.98,0,0,0.98,5.89,1.96,15.71,5.89,0,0,0.98,2.94,0,1.96,0,0,0
 84-94,0,0,0,29.74,11.68,0,0,1.06,0,1.06,0,3.19,2.12,8.5,3.19,0,2.12,1.06,2.12,0,2.12,1.06,0,0
 96-106,0,1.09,1.09,14.21,12.02,0,0,9.84,1.09,0,1.09,2.19,0,8.74,8.74,0,0,0,4.37,0,0,0,1.09,0
108-118,0,0.77,0.77,6.13,17.62,2.3,0.77,6.13,0,0,0.77,0.77,1.53,10.72,3.83,0,0.77,0,1.53,0,1.53,0,0,0
120,0,3.92,0,9.8,7.84,1.96,0,3.92,0,0,0,0,0,3.92,0,0,0,0,3.92,0,0,0,0,0
