stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,6,38,1,0,0,0,0,1,0,0,0,0,3,0,0,20,1,4,0,0,1,1,0,1,4,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0.82,10.67,0,4.93,0.82,0,0,0,0,0,4.93,0,0,5.75,0,0
 36-46,0,0,0,0.81,1.61,0,0,0,0,0.81,0,0,0.81,0,0.81,0,0,20.14,0,3.22,0,0,0,0,0,0,16.92,0,0,5.64,0,0.81
 48-58,0,0,0,0,10.33,0,0,0,0,2.3,0,0,0.57,0,1.72,0,0.57,17.21,0,1.15,0,0,0,0,0,0,21.23,0,0,0.57,0,0
 60-70,0,0,4.91,0.98,14.72,0,0,5.89,0,3.93,0,0,0,0,8.83,0,0.98,23.56,0,0.98,0,0,0,0,0.98,0,11.78,0,0,0,0,0
 72-82,0,0,2.94,0.98,10.8,0,0,2.94,0,5.89,0.98,0,0.98,0,5.89,0.98,3.93,24.54,0,0.98,0,0,0,0,0,0,6.87,0,0,0.98,0,0
 84-94,0,0,5.31,0,7.43,2.12,0,0,0,12.74,0,0,0,0,3.19,0,1.06,19.12,0,2.12,0,0,0,0,0,0,2.12,1.06,0,4.25,0,0
 96-106,0,0,6.56,1.09,1.09,1.09,1.09,4.37,0,17.49,0,0,0,0,5.46,1.09,1.09,10.93,0,0,1.09,0,0,0,0,0,2.19,2.19,0,3.28,1.09,0
108-118,0,0,6.13,0,2.3,1.53,0,2.3,0,5.36,0,0.77,0.77,0.77,4.6,0,0.77,13.02,0.77,2.3,0,0,0,0,0,0,2.3,0.77,0,3.06,0.77,0
120,0,1.96,1.96,1.96,7.84,1.96,0,3.92,0,7.84,0,1.96,0,0,9.8,0,0,13.72,1.96,1.96,0,0,0,0,0,0,3.92,3.92,1.96,3.92,0,0
