stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,2,0,0,0,0,2,3,19,0,0,0,0,0,4,0,4,0,0
 24-34,0,0,0,0.82,0,3.28,0,0.82,0,0,0,0.82,1.64,0.82,18.88,0,0,0,0,0,0,0,4.1,0.82,0
 36-46,0,0,0,0,0,7.25,0,0.81,0,0,0,0,3.22,2.42,20.14,0,0,0,0,0.81,0,0,3.22,0,0
 48-58,0,0,0,0,0,7.46,0,0,0,0,0,0,2.3,0,12.05,0,0,0,0,0,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,10.8,0,0.98,0,0,0,0,2.94,0,3.93,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,4.91,0,0.98,1.96,0,0.98,0,7.85,0,14.72,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,0,3.19,0,5.31,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,3.83,0,0.77,0,0.77,0,0,1.53,0,3.83,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,7.84,1.96,0,0,0,0,0,1.96,0,0,0
