stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,xanthophores
  3-4,39.53,1383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,49.04,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,5.26,0,18.4,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,31.54,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,22.03,0,0,0,0,0,0,0,0,75.53,0,0,0,3.15,3.15,9.44,3.15,0,0,0,0
 14-21,0,0,1,6,40,0,0,0,0,0,2,3,0,0,3,0,0,2,1,1,2,0,0,6,0,0,0,2,0,1,0,0
 24-34,0,0,0,0.82,19.7,0,0,0,0,0.82,0,2.46,0,0.82,9.03,1.64,0,0.82,13.13,0,8.21,0,3.28,7.39,0,0,0,0.82,0.82,0.82,0,0
 36-46,0,0,0,0,4.83,0,1.61,0,0,0,0.81,3.22,0.81,0,4.03,1.61,0,0,10.47,0,8.86,0,7.25,1.61,0,1.61,0,2.42,0,0.81,0,0
 48-58,0,0,0,0.57,2.87,0,0.57,0,0.57,0,0.57,18.36,0,1.72,2.3,0.57,0,0,8.03,0,4.59,0,1.72,2.3,0,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,6.87,0,0,2.94,0,0,0.98,8.83,0,0.98,1.96,2.94,0,0,7.85,0,2.94,0,0,5.89,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,3.93,0,0.98,0,0,0,8.83,7.85,0,0,0.98,0,0.98,1.96,21.6,0,1.96,0,3.93,9.82,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,2.12,0,8.5,0,2.12,2.12,0,1.06,7.43,8.5,0,1.06,6.37,3.19,1.06,2.12,16.99,0,1.06,0,1.06,15.93,0,0,0,4.25,0,0,3.19,0
 96-106,0,0,5.46,0,6.56,0,0,0,0,0,24.04,2.19,0,2.19,4.37,2.19,0,2.19,22.95,0,4.37,0,3.28,15.3,0,0,0,0,0,0,3.28,0
108-118,0,0,0,0,10.72,0.77,1.53,0.77,0,0,37.53,0.77,0,3.83,3.06,1.53,0,0,14.55,0.77,0.77,0,3.06,12.26,0,0.77,0,3.06,0,0,1.53,0.77
120,0,0,1.96,0,7.84,0,0,0,0,1.96,19.6,0,0,1.96,7.84,3.92,1.96,1.96,5.88,1.96,5.88,0,5.88,7.84,0,0,0,1.96,0,0,3.92,0
