stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,152,0,3,0,4,0,0,0,0,0,0,0,1,0,7,1,0,2,2,0,0,4,0,0,0,0,0,0,5,0,0,1,0,0
 24-34,0,0,1.64,0.82,137.9,0.82,13.95,0,12.31,0,0,0.82,3.28,0,0,0.82,4.1,0,36.94,0,1.64,4.93,14.78,16.42,0,0.82,0,0,0.82,0,0,0.82,6.57,0,0,9.85,0,0
 36-46,0,0,0,0,58.81,0.81,5.64,0,6.45,3.22,8.86,1.61,3.22,0,0.81,0,0.81,0,145.02,0.81,10.47,4.83,29.81,80.57,0,0,0,0,0.81,0,0,0,5.64,0,0,17.72,0,0
 48-58,0,0,0.57,0.57,43.61,0.57,15.49,0,14.35,10.33,14.92,1.15,4.59,0,0,0,0,0.57,201.98,1.72,14.92,10.9,33.28,129.68,1.15,0.57,0,2.3,2.3,0,0.57,0,8.03,0,2.87,12.62,0,0.57
 60-70,0.98,0,0.98,0,44.17,0,14.72,0,15.7,9.82,6.87,0,7.85,0,0,0,0,0,245.38,0.98,14.72,4.91,27.48,87.36,0.98,0,0,2.94,0,0,0.98,0,3.93,0,3.93,9.82,1.96,0.98
 72-82,0,0,1.96,0,48.1,0,20.61,0.98,17.67,30.43,4.91,0,3.93,0,2.94,0,0,0.98,252.29,0.98,6.87,10.8,29.45,76.57,0.98,0.98,0,4.91,0.98,0,0,0,2.94,1.96,10.8,24.54,2.94,0
 84-94,0,0,0,0,65.85,0,21.24,0,24.43,12.74,6.37,1.06,5.31,1.06,0,0,1.06,0,161.43,0,8.5,8.5,11.68,115.76,0,0,0,1.06,1.06,2.12,0,0,4.25,0,6.37,14.87,5.31,0
 96-106,0,0,0,0,63.39,0,10.93,0,14.21,18.58,3.28,0,5.46,0,0,0,0,1.09,87.43,2.19,1.09,4.37,18.58,57.92,1.09,0,0,1.09,1.09,0,0,0,1.09,0,3.28,17.49,2.19,0
108-118,0,0,0.77,0,32.94,0,6.13,0,13.79,16.85,3.06,0,1.53,0.77,0.77,0.77,0.77,0.77,66.64,0,0,2.3,9.96,55.92,3.06,0,0,1.53,0.77,0,0,0,0.77,0,0,5.36,0,0
120,0,0,0,0,21.56,0,0,0,3.92,11.76,1.96,0,0,1.96,3.92,0,1.96,1.96,66.63,0,0,1.96,3.92,39.2,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0,3.92,1.96,0
