stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,1.72,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,4.91,0,0,2.94,0,0,0,46.14,0.98,0,0,0,0,0,4.91,1.96,0,3.93,0,0.98,0,0,0,0,0.98,0,0.98,0.98,0.98,0,0
 84-94,0,9.56,1.06,0,3.19,1.06,1.06,0,118.95,0,0,0,0,1.06,6.37,0,3.19,0,1.06,0,0,1.06,0,3.19,1.06,1.06,0,1.06,6.37,0,0,0
 96-106,0,20.76,4.37,1.09,9.84,1.09,1.09,3.28,230.59,0,1.09,3.28,2.19,1.09,4.37,12.02,5.46,1.09,25.14,2.19,0,1.09,0,8.74,0,0,0,1.09,16.39,1.09,2.19,1.09
108-118,0,24.51,2.3,0,6.89,0.77,0.77,1.53,283.41,0,0.77,0,0,0.77,4.6,9.96,6.89,0.77,19.92,0,0.77,1.53,0,3.06,0,0,0.77,0,26.04,0,1.53,4.6
120,0,7.84,0,0,9.8,1.96,0,1.96,141.1,0,0,3.92,1.96,0,1.96,9.8,9.8,1.96,21.56,0,0,0,0,1.96,0,0,0,1.96,5.88,0,0,3.92
