stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,1,0,0,0,0,9,0,0,0,0,0
 24-34,0,0,0.82,8.21,2.46,0,4.1,0,0,0.82,2.46,0.82,0,0,0,0,0,0,0.82,0,0,0.82,20.52,0.82,0,0,0,0.82,0,1.64,0.82,6.57,0,0,0,0,0
 36-46,0,0,0,0.81,2.42,0,5.64,0.81,0,0,1.61,0,0.81,0,0,0,0,0,4.83,0,0,0.81,18.53,2.42,0,0,0,0,0,1.61,1.61,6.45,0,0,2.42,0,0
 48-58,0,0,0,0.57,4.59,0,1.72,0,0.57,0,2.3,0,0.57,0.57,0,0,0,0,4.02,0,0,0,12.62,0,0,1.72,0,0,0,0.57,2.3,0,0,0,0,0,0
 60-70,0,0,0,2.94,7.85,0,6.87,0.98,0,0.98,0.98,0,0,0,0.98,0,0,0.98,7.85,0,0.98,0,27.48,0.98,0,1.96,0,1.96,0,0.98,2.94,10.8,0.98,0,0.98,0,0.98
 72-82,0,0,0.98,3.93,45.16,0,9.82,0,2.94,0.98,2.94,0,0.98,0,0.98,0.98,0.98,0.98,27.49,0.98,1.96,0,43.19,0,0.98,4.91,0,0.98,0,0.98,0.98,5.89,0,0,0.98,1.96,0
 84-94,0,0,0,13.81,39.3,0,12.74,0,2.12,1.06,1.06,1.06,0,0,2.12,1.06,1.06,2.12,16.99,0,0,2.12,23.36,1.06,1.06,8.5,0,5.31,0,1.06,2.12,4.25,0,0,1.06,0,2.12
 96-106,0,1.09,0,7.65,28.41,0,16.39,1.09,0,1.09,13.11,1.09,0,0,3.28,0,0,6.56,29.51,2.19,5.46,4.37,27.32,0,0,20.76,0,6.56,0,0,7.65,2.19,2.19,2.19,4.37,1.09,1.09
108-118,0,0,0,19.15,24.51,1.53,9.96,2.3,9.96,2.3,7.66,1.53,0,0,2.3,2.3,0.77,0.77,29.11,0,1.53,3.06,37.53,0,1.53,15.32,0,9.19,0,1.53,15.32,4.6,0.77,0,3.06,0.77,3.06
120,0,0,0,25.48,27.44,0,5.88,5.88,1.96,0,7.84,3.92,0,0,5.88,1.96,1.96,3.92,31.36,1.96,0,1.96,41.16,1.96,3.92,15.68,0,17.64,0,1.96,7.84,1.96,0,3.92,1.96,3.92,0
