stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,1,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,6,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,1.64,0,0.82,0.82,0,3.28,0.82,0.82,0,4.93,0,14.78,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0.81,0.81,0,0.81,0,0,3.22,3.22,0,0,9.67,0,3.22,0.81,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0,1.15,0.57,0,3.44,0,0,0,5.74,0,0.57,0.57,0,0,0.57
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0.98,3.93,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,2.94,0.98,0,2.94,0.98,0,3.93,0.98,0,0.98,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0
 84-94,0,0,1.06,0,0,2.12,1.06,0,1.06,0,0,0,0,0,2.12,0,0,0,10.62,0,2.12,0,1.06,0,0
 96-106,0,0,6.56,0,0,2.19,2.19,0,6.56,4.37,1.09,0,0,0,2.19,3.28,0,0,10.93,0,1.09,0,1.09,1.09,0
108-118,0,0,13.02,0.77,2.3,3.06,2.3,1.53,6.89,1.53,0.77,2.3,0,0,2.3,3.06,1.53,0,22.98,0,2.3,0,0.77,0,0
120,0,0,15.68,0,1.96,1.96,0,0,9.8,3.92,1.96,0,1.96,0,3.92,0,0,0,9.8,1.96,0,0,1.96,1.96,0
