stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,2,0,1,2,13,0,1,0,0
 24-34,0,0,0,13.13,0.82,0,4.1,0,5.75,0,1.64,0.82,0,0,0,0,0,0,7.39,0,7.39,22.16,2.46,0,0,0,0,0,0.82,0,0,8.21,0,6.57,0,0
 36-46,0,0,0,8.86,0,0,12.09,0,3.22,0.81,2.42,0,1.61,1.61,0.81,0,0,0,21.75,2.42,4.03,23.36,5.64,0.81,0.81,0,0,0,0.81,0,0,4.83,0,5.64,0,0
 48-58,0,0,0,4.59,0,0,9.75,0,1.72,1.15,1.72,0,0,0.57,0.57,0,0,0.57,44.18,3.44,5.16,9.18,1.15,0.57,0,0,1.15,0,0,0.57,0,3.44,0,8.61,0,0
 60-70,0,0,0,7.85,0,0,9.82,0,6.87,1.96,1.96,0,0.98,0,0.98,1.96,0,0,80.48,2.94,2.94,8.83,1.96,0,0,0,0,0,0.98,0,0,0.98,2.94,11.78,0,0
 72-82,0,2.94,0,7.85,0,0,4.91,1.96,2.94,2.94,2.94,1.96,1.96,1.96,0.98,0,0.98,1.96,104.06,6.87,3.93,13.74,0.98,0.98,0.98,0,0,0,0.98,0,0,0,1.96,14.72,2.94,0
 84-94,0,1.06,0,32.92,0,0,7.43,1.06,10.62,2.12,3.19,2.12,1.06,7.43,1.06,0,0,1.06,67.97,7.43,3.19,6.37,2.12,1.06,1.06,0,0,0,1.06,0,0,0,4.25,14.87,2.12,0
 96-106,0,0,0,15.3,0,2.19,10.93,0,5.46,0,4.37,5.46,3.28,7.65,2.19,1.09,0,1.09,50.27,3.28,2.19,8.74,0,1.09,0,0,4.37,0,3.28,0,0,1.09,0,30.6,4.37,0
108-118,0,0,0.77,15.32,0,0,14.55,1.53,9.19,0.77,4.6,0.77,0,6.13,0.77,0.77,0,0.77,40.6,3.83,4.6,6.89,0.77,3.06,1.53,0,0.77,0,2.3,1.53,0,0,0.77,19.15,0.77,0.77
120,0,0,0,25.48,0,0,5.88,3.92,3.92,0,5.88,1.96,1.96,0,0,1.96,1.96,1.96,23.52,1.96,5.88,5.88,1.96,3.92,0,0,1.96,0,1.96,0,0,0,1.96,17.64,3.92,0
