stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,113.29,0,12.59,0,0,0,0,0,0
 14-21,0,131,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,68,0,1,0,0,2,2,0,0
 24-34,0,16.42,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,50.07,0,0,1.64,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0.81,0.81,0.81,0,0,0,24.98,0,0,1.61,0.81,0,2.42,0,2.42
 48-58,0,0,0,0,4.59,0,1.15,0,0,0.57,0,0,0,0,3.44,0,0,0,19.51,0.57,0,1.15,0,0,5.16,0,0
 60-70,0,0,0,0,4.91,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,11.78,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0,12.76,0,3.93,0,24.54,0,0,2.94,0,0,0,0,0.98
 84-94,0,1.06,0,0,3.19,0,1.06,0,0,0,0,0,0,0,11.68,0,4.25,0,15.93,0,0,2.12,0,0,0,2.12,0
 96-106,0,2.19,0,0,3.28,0,1.09,0,0,0,0,0,0,0,14.21,0,3.28,1.09,12.02,0,0,2.19,0,0,0,1.09,0
108-118,0,0,0.77,0.77,3.83,0.77,0.77,0,0.77,0,0.77,0,0,0,15.32,0,5.36,0.77,23.74,0,0,3.06,0,0,0.77,0,0
120,0,0,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,5.88,0,3.92,1.96,15.68,0,0,1.96,0,0,0,0,0
