stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.93,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,4.02,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,0,0,0.98,5.89,5.89,2.94,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,8.5,1.06,0,1.06,0,0,0
 96-106,0,2.19,5.46,1.09,0,0,0,0,2.19,7.65,4.37,4.37,1.09,1.09,1.09,1.09
108-118,0,6.89,0,0.77,0.77,0,0.77,0.77,2.3,8.43,1.53,1.53,5.36,0,0,0.77
120,0,7.84,1.96,3.92,0,0,0,0,0,5.88,1.96,1.96,1.96,0,0,0
