stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,taste,vasculature
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,2.87,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,1.06,1.06,1.06,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0
