stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,4,0,6,0,0,1,0,0
 24-34,0,0.82,2.46,9.85,0,0,2.46,0,0,0,0.82,0,0,0,0.82,5.75,0,0,3.28,51.71,0,0,0,0,0.82,0,0.82,15.6,0,0,4.1,0,0
 36-46,0,0,0.81,4.83,0,0,1.61,0,0,0,0,0,0,0,0,4.03,0,0,1.61,10.47,0,0,0,0,1.61,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,2.87,18.94,0,0.57,2.3,0,0,0,0,0.57,0,0.57,1.15,18.36,0,0.57,2.3,13.77,0,0,0,0.57,1.15,0,0,4.02,0,0,0,0,1.15
 60-70,0,0,0,4.91,0,0.98,1.96,0,0,0,0,0,0,0,0,4.91,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,11.78,0.98,0.98,10.8,0.98,0,0,0.98,0,0,0,0,15.71,0,1.96,3.93,12.76,0,0.98,0.98,0.98,0.98,0,0,0.98,0,0.98,3.93,0,0
 84-94,0,0,0,2.12,0,0,4.25,0,0,0,0,0,0,0,0,7.43,0,0,0,2.12,1.06,0,0,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,1.09,0,2.19,6.56,1.09,0,10.93,1.09,1.09,1.09,0,1.09,1.09,0,0,10.93,1.09,0,0,9.84,1.09,1.09,0,0,6.56,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,3.83,0,0.77,3.06,0,0,0,0.77,0,0.77,0,0,4.6,0,0,0,2.3,0.77,0.77,0.77,0,0,0,0,0,0,0,1.53,0,0
120,0,0,3.92,1.96,1.96,0,3.92,0,0,0,0,0,1.96,3.92,0,3.92,0,0,1.96,11.76,0,0,0,0,3.92,0,0,0,0,0,0,0,0
