stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,1,0,0,0,1,1,0,0,5,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,1.64,0,0,0,0,0,0.82,0,0,8.21,0,0,0.82,152.68,0,13.95,3.28,0,0,0,0,0,0,32.83,0,0,0,0,1.64
 36-46,0,0,0,0.81,0,0,15.31,0,0,0,4.03,0,0.81,0,0,0,0.81,0,0,7.25,0,0,0,346.44,0,12.09,1.61,0,0,0.81,0,0,0,71.7,0,0,0,0,1.61
 48-58,0,0,0,2.3,0,0,51.07,0.57,0,0,6.89,0,0.57,0,0,0,1.72,0,0,8.03,0,0,0,528.47,0,11.48,2.3,0,0,0.57,0,0,0,94.1,0,0,0.57,0,3.44
 60-70,0,0,0,1.96,0,0,177.66,1.96,0,0,3.93,0,0,0,0.98,0,2.94,0,0.98,10.8,0,0,1.96,982.5,0,13.74,7.85,0,0,2.94,0,0,0.98,150.17,0,0,0.98,0,3.93
 72-82,0,0,1.96,8.83,1.96,0,257.2,1.96,0.98,0.98,22.58,1.96,0.98,0.98,0,0.98,2.94,0.98,0,30.43,0.98,1.96,2.94,1000.31,0,19.63,23.56,0,0,2.94,0,0,0,98.17,0.98,0,0,0.98,5.89
 84-94,0,0,4.25,8.5,0,0,191.17,5.31,0,0,14.87,1.06,0,1.06,2.12,1.06,6.37,0,0,22.3,0,3.19,3.19,540.58,0,7.43,32.92,0,1.06,2.12,0,0,1.06,56.29,0,3.19,4.25,0,8.5
 96-106,0,0,1.09,8.74,0,1.09,173.76,4.37,0,0,44.81,1.09,0,3.28,1.09,1.09,10.93,1.09,0,24.04,0,0,1.09,468.83,1.09,19.67,40.44,0,1.09,3.28,0,0,0,24.04,0,0,0,1.09,8.74
108-118,0,0,1.53,12.26,2.3,1.53,155.49,3.83,0.77,0.77,43.66,0,0,1.53,0,0,6.89,0.77,0.77,15.32,0,0,0.77,540,0,16.09,29.11,0,0,2.3,0,0.77,1.53,27.57,0.77,0,0.77,0.77,5.36
120,0,0,0,11.76,1.96,0,145.02,3.92,0,3.92,52.91,1.96,0,9.8,0,1.96,11.76,0,0,13.72,0,0,5.88,650.65,1.96,11.76,29.4,0,0,3.92,0,0,0,27.44,0,0,1.96,1.96,3.92
