stage,blastomeres,erythrocytes,eye,glial,immune,iridophores,lateral_line,mesenchyme,neural,paraxial_mesoderm,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,2.63,0,0,0,0,0,10.51,2.63,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,1.15,0,5.16,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,2.94,0.98,7.85,0,0,0.98,2.94,0,0.98
 84-94,0,0,1.06,0,7.43,0,0,0,0,0,0
 96-106,0,0,0,0,6.56,0,1.09,0,2.19,0,0
108-118,0,0.77,0,0,9.96,0.77,0,0.77,0.77,0,0
120,0,1.96,0,0,7.84,0,0,0,1.96,0,0
