stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,3.22,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,24.67,0,0,0,1.72,0,0,0,0,0,0,0,0.57,0.57,1.72,0,0,0,24.67,0,0.57,0,0,1.15,0,0,0,7.46,0,0,0,0,0.57
 60-70,0,0,0,0,5.89,0.98,0,154.1,0.98,0.98,0.98,12.76,0.98,0,0,0.98,0,0,0,0,0,33.37,0,0.98,2.94,88.34,0.98,0.98,0.98,0,9.82,0,0,0,8.83,0,0,0.98,0,1.96
 72-82,0,0,3.93,0,48.1,44.17,0,625.32,3.93,4.91,7.85,115.84,10.8,1.96,7.85,17.67,1.96,4.91,4.91,5.89,3.93,271.92,2.94,7.85,28.47,686.18,2.94,9.82,11.78,3.93,61.84,0.98,0,3.93,61.84,6.87,8.83,42.21,13.74,11.78
 84-94,0,0,3.19,1.06,42.48,38.23,0,518.27,4.25,7.43,16.99,62.66,11.68,0,5.31,12.74,5.31,6.37,3.19,5.31,4.25,157.18,2.12,7.43,16.99,373.84,3.19,5.31,3.19,5.31,91.34,0,4.25,0,35.05,3.19,6.37,27.61,8.5,5.31
 96-106,0,0,8.74,0,139.88,79.78,7.65,636.04,13.11,20.76,20.76,114.75,17.49,0,13.11,40.44,15.3,9.84,7.65,48.09,0,275.4,7.65,16.39,30.6,578.12,5.46,16.39,20.76,8.74,193.43,0,2.19,4.37,25.14,9.84,10.93,48.09,15.3,8.74
108-118,0.77,0,6.13,0,97.28,59.75,12.26,562.98,6.13,18.38,18.38,133.28,23.74,0,4.6,22.21,13.02,8.43,6.13,26.04,3.06,349.28,4.6,12.26,45.19,793.54,6.89,13.02,14.55,4.6,119.49,0,3.06,1.53,27.57,3.83,9.96,40.6,12.26,11.49
120,0,0,1.96,1.96,145.02,96.03,3.92,685.92,17.64,19.6,15.68,113.67,35.28,0,5.88,58.79,9.8,9.8,19.6,39.2,1.96,339.04,3.92,9.8,50.95,795.67,7.84,7.84,29.4,7.84,139.14,0,9.8,0,25.48,5.88,9.8,37.24,15.68,13.72
