stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,1,0,0,4,1,2,1,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0.82,3.28,0,0,1.64,0,0.82,0
 36-46,0,0.81,0,0.81,0,1.61,0,0,0,0,0.81,0,0,5.64,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0.57,0,0.57,0,2.3,0,0,2.3,0,0,0.57,0,1.72,0
 60-70,0,0,0,5.89,0,0,0,0,0,0,4.91,0,0.98,2.94,0,0,0,0,0.98,0
 72-82,0,0,0,7.85,0,0.98,0.98,0,0,0,4.91,0.98,0,5.89,0,0,0,0.98,4.91,0
 84-94,0,0,0,2.12,0,0,0,0,0,1.06,2.12,0,0,2.12,0,0,0,0,2.12,0
 96-106,0,0,0,3.28,0,0,0,0,0,0,2.19,0,0,3.28,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0,0.77,0,0.77,1.53,0,0,2.3,0,0,0,0,2.3,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0
