stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,3,0,0,2,40,0,2,1,0,0,0,0,3,1,5,30,19,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,3.28,0,0,0,3.28,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,143.65,0,6.57,8.21,0,0,2.46,0,0,0,0,3.28,56.64,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,20.95,0,0,0,5.64,0,0,0,0,0,0,0,0,2.42,0,0,5.64,365.77,0.81,14.5,4.03,0,0,0.81,0,0,0,0,0.81,82.98,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,71.15,0,0,0,10.9,0,1.72,0,0,0,0,1.15,0,3.44,0,0,6.89,364.94,0,8.61,6.89,0,0,0.57,0,0,0,0,0,75.17,0,0.57,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,335.68,0.98,0,0,25.52,0,0.98,0,0,0,0,5.89,0,2.94,0,2.94,5.89,718.47,0,7.85,13.74,0,0,5.89,0,0,0,0,0,107.97,0,0,0,0.98,0.98
 72-82,0,0,0,0,5.89,11.78,0.98,293.52,0,0.98,1.96,42.21,0.98,0,0.98,0,0,0,6.87,0,19.63,0,0,2.94,535.99,0,6.87,34.36,0,0,6.87,0,0,0,0,0,73.62,0.98,0,0.98,0.98,0
 84-94,0,0,1.06,0,5.31,4.25,1.06,200.73,0,0,0,24.43,0,2.12,1.06,0,1.06,0,10.62,0,12.74,3.19,2.12,5.31,317.55,1.06,3.19,49.92,0,0,22.3,0,0,0,2.12,0,42.48,1.06,0,2.12,2.12,1.06
 96-106,0,0,0,0,15.3,4.37,1.09,169.39,1.09,1.09,0,36.06,3.28,0,0,1.09,0,1.09,25.14,1.09,17.49,1.09,3.28,8.74,289.6,0,8.74,69.94,0,0,36.06,0,0,0,0,0,16.39,1.09,3.28,0,2.19,0
108-118,0,0,0,0,11.49,3.83,2.3,149.36,0.77,0.77,0.77,25.28,0.77,0,0.77,0,0.77,0.77,14.55,0.77,17.62,3.06,0,2.3,349.28,0,5.36,51.32,0,0,17.62,0,0,0,0.77,0,11.49,6.89,2.3,0.77,3.06,0
120,0,0,0,0,15.68,5.88,0,125.43,1.96,0,0,25.48,1.96,0,0,1.96,0,1.96,11.76,0,21.56,0,0,9.8,388.04,0,1.96,47.03,0,1.96,17.64,0,0,1.96,1.96,0,19.6,0,0,0,0,0
