stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1634.06,8064.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0,0,0,0
  5-6,2028.91,11027.21,30.65,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,901.06,110.33,0,0,306.48,0,190.02,0,0,0,0,0,0,0,0,0
  7-9,612.49,139.32,452.14,0,0,49.95,0,0,0,0,0,94.63,0,0,0,0,0,0,0,0,2576.14,828.04,0,0,5546.58,0,7.89,57.83,0,0,0,0,0,0,0,0
 10-12,6.29,40.91,232.88,0,3.15,37.76,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,878,796.18,0,0,2750.45,0,0,3.15,3.15,125.88,0,3.15,3.15,0,0,0
 14-21,2,2,1,9,54,11,0,0,0,0,7,4,0,2,0,0,21,0,0,9,97,714,0,1,454,0,2,0,450,0,2,105,161,3,0,1
 24-34,0,0,0,0,3.28,4.1,0,0,7.39,1.64,1.64,0,0,0.82,0,0,12.31,0.82,0,10.67,68.13,325.06,0.82,0.82,0,0,4.1,0,0.82,1.64,0,58.28,57.46,4.93,0,0.82
 36-46,0,0,0,0.81,0,5.64,0.81,0,9.67,0.81,0,0,0,0,0,0.81,5.64,0,0,7.25,45.92,269.09,0.81,0,0,0,2.42,0.81,0.81,0,0,0,12.89,0.81,0,0.81
 48-58,0.57,0,0,0,0,4.02,0.57,0,5.16,1.15,0,0,0,0,0,0.57,6.89,0,0,3.44,20.08,180.17,0,0,0,0,0,0,0,0,0.57,0,5.74,0,0,0
 60-70,0,0,0,0,0,3.93,0,0,2.94,1.96,0,0,0,0,0,0,6.87,0,0,0,10.8,125.63,0,0,0,0,0.98,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,0.98,0,4.91,0,0,2.94,2.94,0,0.98,0,0,0,0,2.94,0,0.98,0,5.89,103.07,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,1.06,0,0,0,1.06,3.19,0,0,3.19,2.12,0,0,0,0,0,0,3.19,0,0,3.19,3.19,149.75,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,0,2.19,1.09,0,5.46,1.09,0,0,2.19,0,0,0,4.37,0,0,2.19,2.19,132.23,0,0,0,1.09,4.37,0,0,0,0,0,0,1.09,0,0
108-118,1.53,0,0,0.77,1.53,1.53,0,0,0.77,0.77,0.77,0,0,0,0,0,4.6,0,0,0.77,8.43,147.06,0,0.77,0,0,0.77,0,0,0,0,0,0.77,0,0,0
120,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,5.88,0,0,0,9.8,190.1,0,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0
