stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,5.75,0.82,0,0,0,0,0,0.82,2.46,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0.81,0,1.61,0.81,14.5,0.81,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0.57,0,2.87,0,0,0,0.57,0,1.15,0.57,16.07,0,0,0,0,0,1.15,0,3.44,0,0,0,0
 60-70,0,0,0,6.87,0,0.98,0,1.96,0,1.96,0,13.74,0,0,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,10.8,0,0,0.98,2.94,0,4.91,0.98,17.67,0,0.98,0,0,0,0,0,4.91,0,0,0,0
 84-94,0,0,1.06,3.19,1.06,0,0,0,0,1.06,0,11.68,0,0,0,0,0,0,0,2.12,0,0,0,1.06
 96-106,0,2.19,1.09,9.84,0,0,0,5.46,0,4.37,0,7.65,0,0,0,0,0,1.09,0,2.19,1.09,0,2.19,0
108-118,0,1.53,0,2.3,0.77,0,0,0.77,0.77,0.77,0.77,6.89,0,0,0,0,0.77,0,0,0.77,0,0,0.77,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,1.96,11.76,0,0,1.96,0,0,0,0,0,0,0,0,0
