stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,17,0,6,0,0,0,1,2,0,1,1,0,0,0,0,1,3,0,3,100,0,0,0,2,0,1,4,0,7,24,0,0,50,0,0
 24-34,0,1.64,0,4.93,13.13,0,6.57,0,0.82,0.82,3.28,0.82,0,1.64,20.52,0,0,0,0,0,5.75,0,2.46,167.45,1.64,0,0,0,0,0.82,0,5.75,1.64,17.24,0,0,288.12,0,0
 36-46,0,0,0,1.61,2.42,0,10.47,1.61,0,0.81,2.42,0.81,0,0.81,25.78,0,0,0.81,0,3.22,8.06,0,0.81,90.23,0.81,0,0,0,0,1.61,0,3.22,0,9.67,0,0,215.11,0,0.81
 48-58,0,0,0,0,1.72,0,12.62,0.57,0,3.44,4.02,0.57,0,4.02,35.58,0,0,0,0.57,0.57,7.46,1.15,2.3,49.92,1.15,1.15,0,0,0,1.72,0,1.72,0,8.03,0,0,165.83,0,0.57
 60-70,0,0,0,1.96,0.98,0,27.48,1.96,0,1.96,7.85,0,0,3.93,47.11,0,1.96,0,0,1.96,6.87,2.94,0.98,34.35,0,0,1.96,0,0,0.98,0,2.94,0,2.94,0,0.98,136.43,1.96,0.98
 72-82,0,0,0,3.93,1.96,0,33.38,0.98,0,0.98,9.82,1.96,0,4.91,90.31,0,0,0.98,0,0,10.8,3.93,2.94,27.49,0,0,2.94,0,0,0.98,0,3.93,0,4.91,0,7.85,212.04,13.74,1.96
 84-94,0,0,0,7.43,1.06,0,16.99,0,1.06,0,1.06,2.12,0,8.5,113.64,0,0,0,0,1.06,7.43,6.37,0,14.87,3.19,0,0,0,0,3.19,0,0,0,2.12,1.06,2.12,190.1,12.74,1.06
 96-106,0,0,0,4.37,4.37,0,25.14,0,0,0,4.37,1.09,0,10.93,169.39,0,0,1.09,0,0,13.11,4.37,0,22.95,1.09,1.09,1.09,0,6.56,10.93,0,5.46,0,2.19,0,2.19,242.61,21.86,1.09
108-118,0.77,0,0,3.83,3.06,0.77,9.19,1.53,0.77,0,1.53,0.77,0,3.06,118.72,0.77,1.53,0,0.77,0,12.26,4.6,0.77,13.79,0.77,0,0,0,2.3,3.06,0,3.83,0,0.77,0,1.53,193.02,12.26,0.77
120,0,0,0,11.76,15.68,0,21.56,0,3.92,3.92,3.92,1.96,1.96,5.88,241.05,0,1.96,1.96,0,0,13.72,3.92,3.92,17.64,1.96,0,1.96,0,0,3.92,0,3.92,0,1.96,0,0,303.77,15.68,0
