stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,3,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,2.46,2.46,12.31,0,0,0,9.85,0,0
 36-46,0,0,0,0,1.61,0,0,4.83,0,35.45,0.81,0,0,15.31,0,0
 48-58,0,0.57,0,0,4.02,2.87,0,6.89,0,80.91,0,0,0,8.61,0.57,0
 60-70,0,0,0.98,0,11.78,0.98,0,5.89,0.98,184.53,0,0,0,5.89,0,0
 72-82,0,0,0,0.98,13.74,4.91,0,1.96,0,137.43,0,0,0,4.91,0,0
 84-94,0,0,0,0,15.93,7.43,0,1.06,0,65.85,0,0,1.06,6.37,0,0
 96-106,0,1.09,0,0,8.74,2.19,1.09,1.09,0,64.48,0,0,1.09,4.37,1.09,1.09
108-118,0,0,0.77,0,10.72,3.83,0,0,0,65.11,0,0,0,1.53,0,0
120,0,0,0,0,7.84,0,0,1.96,0,80.35,0,0,0,1.96,0,0
