stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,7.39,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81,21.75,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,2.3,0,0,35.58,0,1.72,0,0,0
 60-70,1.96,0.98,3.93,0.98,0,0,0,0,1.96,0,0,42.21,0,4.91,0,0,0
 72-82,0.98,0,0.98,1.96,0.98,0.98,0,0,2.94,0,0,77.55,0.98,1.96,0.98,0,0.98
 84-94,6.37,0,0,6.37,0,0,0,1.06,4.25,1.06,0,92.4,0,1.06,0,0,0
 96-106,7.65,0,0,4.37,0,5.46,0,0,4.37,2.19,1.09,136.61,0,6.56,0,5.46,0
108-118,9.19,0,0,6.13,0,0,0,0.77,6.13,0,1.53,103.41,0,2.3,0.77,5.36,0
120,5.88,0,0,1.96,0,1.96,0,0,5.88,0,0,62.71,0,0,0,0,0
