stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,26.27,0,0,1.64,9.85,0,0,0,0,0,0,0,4.1,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,1.61,0.81,0,0,0,0,0,0,74.93,0,0,5.64,8.86,0,0,0,0,0.81,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,2.87,0,5.74,0.57,0,0,0,0,0,0.57,127.38,0,0,10.9,9.18,0,1.15,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,1.96,0,10.8,0.98,0,0,0,0,0,0,242.44,0,1.96,22.58,3.93,0.98,0,0,2.94,0,0,0,0.98,1.96,0,0.98,1.96
 72-82,0,0,0.98,0,0,8.83,0,23.56,0.98,0,0,0,0,0,0,315.11,0,1.96,30.43,11.78,0,0,0,0.98,0,0,0,0.98,1.96,0,1.96,0
 84-94,0,0,0,0,0,10.62,2.12,11.68,1.06,0,0,0,1.06,0,0,193.29,1.06,1.06,11.68,8.5,1.06,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,12.02,1.09,9.84,1.09,0,0,1.09,0,0,1.09,266.65,0,3.28,14.21,17.49,0,0,0,4.37,0,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0.77,2.3,2.3,9.96,0,0.77,0,0,0.77,0,0,205.28,0,3.06,9.19,11.49,0,0,0,0,0.77,0,0.77,0.77,0.77,0.77,0.77,0
120,0,0,0,1.96,0,3.92,1.96,11.76,0,0,0,1.96,0,1.96,0,168.54,0,0,17.64,9.8,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0
