stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mucous,neural,paraxial.mesoderm,periderm,somites
  3-4,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,24,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,18.06,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,12.09,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,4.59,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,4.25,0
 96-106,0,1.09,1.09,1.09,1.09,1.09,0,0,0,1.09,0,3.28,0
108-118,0,3.06,0,0,0.77,0.77,0.77,0,0.77,0,0,5.36,0
120,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0
