stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,3,22,445,36,0,43,0,11,0,7,8,2,7,0,4,0,0,1,0,126,1,0,67,484,68,0,10,154,0,59,889,21,5,402,308,0,0,1,0,0
 24-34,0.82,4.1,9.85,118.2,0.82,0,142.01,1.64,36.12,2.46,5.75,1.64,0,13.13,0,3.28,1.64,1.64,6.57,0,270.06,1.64,0.82,69.77,561.47,22.16,1.64,18.06,0,0,89.47,1.64,14.78,4.1,76.34,258.57,0,0,11.49,0,0.82
 36-46,0,0,0,41.09,0.81,0,174.02,3.22,16.11,8.06,24.17,1.61,0,16.92,0,0.81,0,3.22,0,0.81,273.12,1.61,2.42,60.43,646.95,14.5,5.64,15.31,0,0,66.06,0,8.86,1.61,0,216.73,0,0,9.67,0,0.81
 48-58,0,0,0.57,22.95,0,0,255.92,4.02,17.21,8.61,57.38,1.15,1.15,10.9,0.57,1.72,0.57,1.15,2.87,0.57,326.49,2.87,2.87,59.1,679.96,4.02,0.57,17.21,0,0,52.22,0,4.02,0.57,0,175.58,0,0.57,9.75,0.57,0
 60-70,0,0,0,33.37,0,0,373.96,5.89,18.65,11.78,68.71,4.91,0,5.89,0,1.96,0,0,0.98,0,357.27,0.98,1.96,26.5,733.2,1.96,0,19.63,0,0.98,65.76,0,6.87,0,0,92.26,0.98,0,10.8,0.98,0.98
 72-82,0,0.98,0,39.27,1.96,0.98,326.89,2.94,17.67,20.61,84.42,14.72,0,5.89,0.98,0.98,0,6.87,0.98,0,435.86,7.85,10.8,35.34,568.38,0.98,2.94,31.41,0,2.94,58.9,0,6.87,0,0,60.86,1.96,1.96,14.72,7.85,0.98
 84-94,0,3.19,0,46.73,1.06,6.37,278.25,2.12,22.3,6.37,56.29,18.05,1.06,6.37,1.06,10.62,1.06,3.19,2.12,0,269.76,5.31,19.12,26.55,292.06,10.62,2.12,30.8,0,0,110.45,0,12.74,0,0,30.8,12.74,5.31,7.43,9.56,0
 96-106,0,1.09,0,67.76,6.56,4.37,186.88,2.19,32.79,5.46,60.11,17.49,0,5.46,4.37,6.56,1.09,1.09,3.28,0,292.88,5.46,9.84,14.21,299.44,0,1.09,60.11,0,7.65,116.93,0,6.56,1.09,0,16.39,17.49,4.37,8.74,7.65,5.46
108-118,0,3.06,0,87.32,2.3,22.98,157.02,1.53,39.83,3.83,45.19,22.98,0,4.6,0,4.6,3.83,0.77,3.06,0,229.02,6.13,11.49,21.45,308.68,3.06,2.3,42.13,0,3.83,85.02,0,10.72,0,0,5.36,26.81,3.06,12.26,3.83,1.53
120,0,0,0,96.03,3.92,7.84,152.86,7.84,37.24,7.84,39.2,19.6,0,5.88,0,1.96,0,1.96,0,0,168.54,1.96,13.72,11.76,284.17,1.96,5.88,43.12,1.96,3.92,58.79,0,15.68,0,0,15.68,9.8,3.92,15.68,5.88,1.96
