stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,107.78,7.89,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,107,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,3,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,29,2,5,0,1,0,0,4,0,0,3,19,0,0,1,0,0
 24-34,0,0,0,0,8.21,0.82,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,9.85,0,4.1,95.22,0.82,14.78,0,0,0,0,0,0,0,0,25.45,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,6.45,0,0,0,5.64,0,0,0,0,0,0,0,0.81,0,11.28,0,6.45,187.72,0,28.2,0,0,0,0,0,0,0,0,39.48,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,17.21,0,0.57,0,5.74,0,0,0,0,0,0.57,0.57,0,0,10.9,1.15,4.02,215.75,0,21.23,1.72,0,0.57,1.72,0,0,0,0,51.64,0,0,0.57,0.57,0.57
 60-70,0,0,0,0,2.94,0,0,34.35,0,0.98,0.98,11.78,0,0,0,0,0,0,0.98,0,0,30.43,0.98,0,417.15,0,20.61,0,0,0,2.94,0,0,0,0,105.02,0,0.98,2.94,0,0
 72-82,0,0,0.98,0,4.91,0,0,44.17,0.98,0,0,26.5,0,0.98,1.96,0,0,0.98,0,0,0.98,66.75,0.98,6.87,385.79,0,51.05,1.96,0,0,7.85,0,0,0,0,75.59,0,0,1.96,0,0.98
 84-94,0,0,3.19,0,7.43,0,0,44.61,0,2.12,0,15.93,0,0,1.06,1.06,0,1.06,2.12,0,0,40.36,0,3.19,231.52,1.06,65.85,3.19,0,0,12.74,0,0,0,0,47.79,1.06,0,0,1.06,0
 96-106,0,0,1.09,0,13.11,0,0,22.95,1.09,3.28,1.09,20.76,1.09,0,3.28,1.09,2.19,0,1.09,0,0,53.55,1.09,8.74,166.11,0,113.66,5.46,0,0,10.93,0,0,0,0,28.41,0,0,1.09,3.28,1.09
108-118,0,0,0,0,9.96,0,0,22.98,0,1.53,1.53,9.96,0,0,1.53,1.53,0.77,0.77,2.3,0,0.77,54.38,1.53,3.06,218.3,2.3,54.38,3.83,0,0,6.13,0,0.77,0.77,0,17.62,0,1.53,0.77,4.6,0
120,0,0,1.96,0,31.36,1.96,1.96,29.4,0,7.84,0,11.76,1.96,0,0,0,0,1.96,0,0,0,45.08,1.96,1.96,195.98,1.96,29.4,5.88,0,0,13.72,0,0,1.96,0,25.48,0,0,0,0,0
