stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,periderm,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,1,0,1,1,0,0,1,0,0
 24-34,0,0,1.64,0.82,3.28,0,0,9.03,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0.81,16.11,0,0,0.81,0,2.42
 48-58,0,0,1.15,2.3,0.57,0,2.3,17.21,0,1.15,0,0,0
 60-70,0,0,0,0,0.98,0,0,16.69,0.98,0.98,0,0,0
 72-82,0,0,0.98,3.93,2.94,0.98,0.98,22.58,0,0.98,0,0,0
 84-94,0,1.06,2.12,1.06,2.12,0,0,15.93,0,2.12,0,1.06,0
 96-106,0,0,2.19,4.37,2.19,0,1.09,15.3,1.09,2.19,0,0,1.09
108-118,0,0,0,0.77,4.6,0,0.77,22.98,0.77,1.53,1.53,0,0
120,1.96,0,1.96,1.96,1.96,0,0,35.28,0,0,0,0,0
