stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,3,0,0,0,20,0,0,0,0,0,0,3,0,0,1,45,1,1,5,5,0,0,4,8,3,18,52,0,0,0,0
 24-34,0,0.82,1.64,4.93,0,4.1,0,0,0,13.13,0,0,0,0,0.82,0,7.39,0,0,2.46,54.18,0,4.1,2.46,0,0.82,0,0,2.46,0,2.46,49.25,0,0.82,0,0
 36-46,0,0,0,1.61,0,6.45,0,0,0,12.89,0,0,0,0,0,0,4.83,0,0.81,0,47.53,0,5.64,0.81,0,0.81,0,0,4.03,0,0,29.81,0,0,0,0
 48-58,0,0,0,1.15,0,3.44,0.57,0,0,9.75,0.57,0,0,0,0.57,0,1.15,0,0,1.15,36.72,0,2.87,0.57,0,0,0,0,0.57,0,0,15.49,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,3.93,0,0,0,0,0.98,0,1.96,0,0.98,0,64.78,0,10.8,0.98,0,0,0,0,0.98,0,0,9.82,0,0,0,0
 72-82,0,0,0,0.98,0.98,10.8,0.98,0,0.98,5.89,0.98,0,0,0,1.96,0.98,4.91,0.98,0.98,0,58.9,0,19.63,4.91,0,0,0.98,0,2.94,0,0,11.78,0,1.96,0.98,0
 84-94,0,0,0,3.19,0,8.5,0,0,1.06,10.62,0,1.06,1.06,1.06,2.12,0,1.06,0,0,0,23.36,0,6.37,4.25,0,0,0,0,6.37,0,0,5.31,1.06,0,2.12,0
 96-106,0,0,0,3.28,0,5.46,0,0,0,8.74,1.09,0,1.09,0,3.28,0,1.09,0,0,1.09,21.86,0,13.11,3.28,0,2.19,0,0,0,0,0,4.37,0,0,2.19,1.09
108-118,0,0,0,0.77,0,5.36,0,0.77,0.77,10.72,0.77,0,0.77,0,2.3,0.77,1.53,0,0,1.53,29.87,0,5.36,5.36,0,0,0,0,4.6,0,0,4.6,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,13.72,1.96,0,0,0,3.92,0,7.84,0,0,0,45.08,0,13.72,5.88,0,0,0,0,0,0,0,9.8,1.96,0,0,0
