stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,0,3,2,0,0,0,1,0,14,0,0,6,5,32,0,1,0,1,1,0,0,2,2,0,0,0
 24-34,0,0,2.46,0,0.82,0,0,0,0,27.09,0,0,16.42,11.49,6.57,0,0,0,0,0,0,1.64,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,4.03,35.45,0,0,8.06,22.56,3.22,0.81,0,0,0,0,0,7.25,0,6.45,0.81,0,0
 48-58,0,0,0,0,1.15,0,0.57,1.15,0.57,28.69,0,0.57,11.48,24.1,2.3,0,0,0,0,0,0,2.87,0,2.87,0,1.15,0
 60-70,0,0,0.98,0,3.93,0,0,0,0,37.3,0,0.98,8.83,46.13,0.98,0,0,0,0.98,0,0,3.93,0,5.89,0.98,1.96,0
 72-82,0,0,0,0,6.87,0,3.93,1.96,0,36.32,0,0,9.82,71.66,0.98,0,0,0,0.98,0,0,0.98,0,4.91,2.94,7.85,0
 84-94,0,0,4.25,0,4.25,0,2.12,0,0,25.49,2.12,0,6.37,32.92,0,0,0,0,0,0,0,3.19,0,1.06,0,2.12,1.06
 96-106,0,0,7.65,0,9.84,3.28,3.28,2.19,0,32.79,0,1.09,9.84,45.9,1.09,0,0,1.09,0,0,0,2.19,0,3.28,1.09,7.65,1.09
108-118,0,0,3.83,0,6.89,0.77,1.53,0,0.77,25.28,0,1.53,2.3,37.53,3.83,0,0,0.77,0,0,0,6.89,0,1.53,0.77,4.6,0.77
120,0,0,1.96,1.96,13.72,0,1.96,0,0,35.28,0,1.96,1.96,50.95,0,0,0,0,0,0,0,0,0,1.96,3.92,5.88,0
