stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,taste,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,14.78,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,12.09,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,1.72,0.57,9.75,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,8.83,0,0
 72-82,0,1.96,0.98,0.98,43.19,0,0,0,0,0,0,0.98,0,9.82,0,0
 84-94,0,3.19,0,1.06,23.36,0,0,0,0,1.06,0,1.06,1.06,29.74,0,1.06
 96-106,0,8.74,2.19,0,84.15,0,1.09,0,0,2.19,1.09,5.46,0,15.3,1.09,0
108-118,0,6.89,1.53,0,67.4,0,0,0.77,0.77,1.53,0,2.3,1.53,19.92,0,1.53
120,1.96,7.84,0,1.96,52.91,1.96,1.96,0,1.96,0,0,5.88,0,25.48,0,1.96
