stage,endoderm,epidermis,eye,fast.muscle,glial,gut,immune,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,7.39,0,0,1.64,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,16.92,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,17.21,0,0,2.3,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0,0,17.67,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,36.32,0,0.98,0.98,0,0.98,0.98,0,0
 84-94,0,0,2.12,0,0,0,38.23,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,1.09,0,40.44,1.09,1.09,2.19,2.19,0,0,0,0
108-118,0,2.3,0.77,0,0,0.77,37.53,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,50.95,1.96,0,1.96,0,0,0,0,0
