stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,3.28,0,0.82,2.46,0.82,0,0,0,0.82,13.95,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,1.61,0,0,0,5.64,1.61,1.61,16.11,0.81,0.81,0,0,0.81,21.75,0,0,1.61,0
 48-58,0,0,0,0,1.15,0,0,2.3,9.18,0,0.57,0,18.36,0,2.3,22.95,2.3,0.57,0,0.57,0.57,14.92,0,0,0,0
 60-70,0,0,0,0,2.94,1.96,0,0.98,8.83,1.96,0,0,52.02,1.96,0,38.28,0.98,0,0,1.96,0,12.76,0,0,0.98,0
 72-82,0,0,0.98,0.98,4.91,0,0,3.93,12.76,0.98,0.98,0,70.68,4.91,2.94,48.1,0,4.91,0,0,0,15.71,0,0,1.96,0
 84-94,0,0,3.19,0,1.06,1.06,0,2.12,11.68,1.06,0,1.06,48.85,3.19,0,33.99,0,3.19,0,0,1.06,10.62,2.12,0,3.19,0
 96-106,0,0,1.09,0,5.46,1.09,0,3.28,7.65,2.19,1.09,1.09,53.55,2.19,0,37.16,1.09,4.37,0,0,0,13.11,0,1.09,1.09,1.09
108-118,0,0,2.3,0,4.6,0.77,0,4.6,6.89,0,3.83,0,39.83,0.77,2.3,26.04,0,6.13,0,0.77,2.3,5.36,0,0,0.77,0.77
120,0,0,0,0,5.88,0,1.96,3.92,5.88,0,0,1.96,21.56,1.96,0,48.99,0,9.8,0,3.92,0,5.88,0,3.92,1.96,0
