stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,4,0,1,0,0,0,0,0,26,0,1,0,0,0,0,16,0,0,7,5,0,0,1,0,1,1,0,1,1,3,0,0,8,0,0
 24-34,0,0,19.7,0,0,2.46,0,1.64,1.64,2.46,0,18.88,0,0,4.1,0,0,0,41.04,0,0,27.09,15.6,18.88,0,0,0,1.64,3.28,0,0,0,14.78,0,0,81.26,0,0
 36-46,0,0,23.36,0,0,1.61,0.81,0,12.09,10.47,0,18.53,0,0,23.36,0,0,0,57.2,0,2.42,21.75,16.11,15.31,0,0.81,0,0.81,0.81,0,0,0,12.09,0,3.22,49.95,0.81,0
 48-58,0.57,0,17.21,0,0,6.31,5.74,2.87,27.54,7.46,0,9.18,0,0,35.58,0,0.57,0.57,109.6,0,3.44,28.12,13.77,8.03,0,0,0,3.44,0,0,0,0,2.87,0,4.59,23.53,0.57,0
 60-70,0,0,11.78,0,0,11.78,36.32,2.94,38.28,5.89,0,8.83,0,0,60.85,0,0.98,0.98,224.77,0.98,30.43,19.63,22.58,3.93,0,0,1.96,13.74,0,0.98,0,0,1.96,0,40.24,14.72,30.43,0.98
 72-82,0,0,5.89,2.94,0,55.95,54.97,1.96,61.84,10.8,1.96,10.8,0,0,56.94,0.98,0.98,0.98,362.23,0.98,40.25,22.58,55.95,0.98,1.96,0,11.78,2.94,0,0,0.98,0,3.93,0,83.44,24.54,96.2,0.98
 84-94,0,0,10.62,1.06,0,47.79,87.09,2.12,50.98,1.06,0,10.62,1.06,0,109.39,0,0,0,213.47,1.06,39.3,25.49,28.68,3.19,1.06,0,6.37,6.37,0,0,0,0,5.31,0,78.59,32.92,106.2,1.06
 96-106,0,0,6.56,4.37,1.09,41.53,89.61,6.56,37.16,15.3,3.28,12.02,1.09,0,92.89,1.09,7.65,2.19,334.41,1.09,33.88,26.23,59.01,1.09,1.09,0,25.14,9.84,0,2.19,0,0,4.37,1.09,79.78,22.95,120.21,1.09
108-118,0,0,8.43,0,0.77,23.74,82.72,1.53,40.6,4.6,0.77,13.02,1.53,0,132.51,0,1.53,4.6,267.32,0.77,26.04,19.92,34.47,2.3,0.77,0,22.21,0.77,0,1.53,0,0,1.53,0,62.81,26.81,78.13,0
120,0,0,3.92,0,1.96,15.68,80.35,0,27.44,3.92,3.92,5.88,0,0,72.51,1.96,0,1.96,186.18,0,19.6,25.48,50.95,0,0,1.96,21.56,9.8,0,0,0,0,0,0,64.67,9.8,92.11,0
