stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,4.03,0,0,0,0,0,0.81,0.81,0,0.81
 48-58,0,0,0,0,4.02,0,1.15,0,0,0,0.57,1.72,0.57,0,13.2,0,0,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,0,86.37,0,0,5.89,0.98,0.98,0,2.94,0,0.98,47.11,0,0,0,0.98,0,0.98,3.93,0,0
 72-82,0,0,0,0,179.64,0,0,5.89,0.98,0,0.98,4.91,0,0,52.03,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,2.12,0,79.65,0,1.06,10.62,0,0,0,5.31,0,0,23.36,0,1.06,0,4.25,0,0,2.12,0,0
 96-106,0,0,0,0,91.8,0,0,15.3,0,0,0,3.28,0,0,26.23,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,56.68,0.77,0,11.49,0.77,0,0,1.53,0,0,21.45,0,0,0,0.77,0,0,1.53,0.77,0.77
120,0,0,1.96,0,52.91,0,0,9.8,0,0,0,0,0,0,27.44,0,0,0,1.96,0,0,0,0,0
