stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,0,9,0,0,1,0,9,17,0,0,1,5,41,0,0,0
 24-34,0,1.64,4.1,0,0,0,8.21,0,0,4.1,0,1.64,45.97,0,0,0,0,50.07,0,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,4.03,0.81,2.42,40.28,0,0,0,0,13.7,0,0,0
 48-58,0,0,1.15,0,1.15,1.15,1.15,0,0,6.31,0,0.57,19.51,0,0,0,0,14.35,0,1.15,0
 60-70,0,0,0.98,0,1.96,0,2.94,0,0.98,3.93,0.98,0.98,11.78,0,0,0,0,8.83,0,0.98,0
 72-82,0,0,2.94,0,2.94,0,2.94,0,0,10.8,2.94,1.96,9.82,0,0,0,0,7.85,0,0,0
 84-94,0,0,1.06,0,5.31,0,1.06,0,0,11.68,0,3.19,10.62,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,0,0,0,1.09,1.09,0,0,6.56,0,0,9.84,0,1.09,0,0,3.28,0,0,0
108-118,0,0,1.53,0,1.53,0,2.3,0.77,0,5.36,0,0.77,13.02,0,0,0,0,4.6,0.77,0,0
120,0,0,0,0,1.96,0,0,1.96,0,3.92,0,0,11.76,0,0,0,0,0,0,1.96,0
