stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1054.23,18093.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0,0,0,0,0
  5-6,1538.54,24518.54,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,190.02,67.43,0,0,79.69,0,508.76,0,0,0,0,0,0,0,0,0,0
  7-9,191.9,331.22,0,552.03,0,0,0,1343.27,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,10010.14,441.62,0,0,4150.74,0,21.03,39.43,0,0,0,0,0,0,0,0,0
 10-12,3.15,62.94,0,236.02,0,0,0,692.33,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,2045.53,62.94,0,0,2401.14,0,3.15,12.59,12.59,12.59,0,40.91,3.15,0,0,0,0
 14-21,0,0,0,11,8,3,0,2,0,0,32,0,0,1,0,0,0,0,28,0,0,46,101,30,0,1,131,0,0,0,82,0,90,285,264,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0.82,0,1.64,0,1.64,23.8,0,0,0,0,0,0,0,49.25,0,0,19.7,41.04,0.82,0,0,0,0,0.82,0,0,0,28.73,36.94,64.03,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,0,4.83,0,3.22,3.22,0,0,0,0,0,0,0,39.48,0,0,13.7,25.78,0.81,0,0,0,0,0.81,0,0,0,12.09,0,19.34,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,5.16,0.57,4.59,5.74,0,0,0,0,0.57,0,0.57,25.25,0.57,0,5.16,16.64,0,0,0.57,0,0,0.57,0,0,0,4.02,0,3.44,0,0,0,0
 60-70,0,0,0,0,0,0,0,5.89,0.98,0.98,2.94,0,0,0,0,0,0.98,0,18.65,0,0,0,16.69,0,0,0,0.98,0,1.96,0,0,0,1.96,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,3.93,0,1.96,3.93,0,0,0,0,0,0,0,24.54,0.98,0,1.96,25.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,7.43,3.19,2.12,2.12,0,0,0,1.06,0,0,0,19.12,0,0,0,4.25,0,0,0,0,0,0,0,0,1.06,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,0,5.46,1.09,1.09,3.28,1.09,0,0,0,0,0,0,19.67,0,0,1.09,14.21,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0.77,2.3,0,2.3,0.77,0,0,3.83,0.77,0,0,1.53,0,0,0,12.26,0,0.77,2.3,5.36,0,0.77,0,0,0.77,2.3,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0,15.68,0,0,0,19.6,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
