stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4,2,6,5,0,7,0,0,0,2,0,0,0,1,0,0,1,0,6,0,0,5,268,0,7,1,2,0,0,1,16,1,0,23,173,0,0,0,0,0
 24-34,1.64,0,6.57,0.82,0,25.45,0,1.64,0,11.49,0,0,0,0,0,0.82,0.82,0,11.49,0,0,7.39,1386.43,0.82,49.25,1.64,0,0,6.57,0,0,0.82,0.82,3.28,368.56,0,0,0.82,0,0
 36-46,1.61,0,3.22,0,0,187.72,1.61,1.61,0.81,45.92,0,0,0.81,1.61,0,0,0,1.61,16.92,0.81,0,4.03,2226.06,0,38.67,2.42,0,0,5.64,0,0,0,0,0.81,480.18,0,0,2.42,0,0
 48-58,1.15,0,7.46,0.57,0,445.27,1.15,0.57,1.72,129.68,0,0,0.57,0,1.15,0,0.57,1.15,25.25,1.15,1.72,2.87,2432.36,0,28.69,0,0,0.57,4.59,0,0,0.57,0,0,486.59,0,0,1.72,0,1.72
 60-70,1.96,0,6.87,0.98,0,727.31,3.93,0.98,0.98,161.95,2.94,0.98,1.96,1.96,1.96,0.98,0,0,23.56,0,0,1.96,2388.04,0,22.58,4.91,0,0.98,5.89,0,0,0.98,0,0,352.37,0,0,0,0,1.96
 72-82,10.8,0,14.72,3.93,0,890.37,0,0.98,0.98,232.65,6.87,0.98,2.94,0,0,0,0.98,0,49.08,0,2.94,1.96,2379.55,0,50.06,4.91,0,0,4.91,0,0,0.98,0,0,218.91,1.96,2.94,6.87,1.96,1.96
 84-94,2.12,0,16.99,5.31,1.06,563.94,0,2.12,1.06,134.88,5.31,1.06,0,1.06,4.25,0,1.06,0,40.36,0,0,5.31,1136.38,1.06,31.86,4.25,0,0,12.74,0,0,1.06,0,0,123.2,1.06,0,2.12,0,0
 96-106,3.28,0,10.93,1.09,1.09,436.05,3.28,2.19,5.46,149.72,3.28,1.09,6.56,0,5.46,3.28,2.19,0,32.79,3.28,0,6.56,935.48,1.09,67.76,4.37,0,1.09,15.3,0,0,0,1.09,0,49.18,0,1.09,4.37,3.28,3.28
108-118,6.13,0.77,12.26,2.3,0.77,267.32,1.53,0,1.53,130.21,1.53,0.77,2.3,1.53,0.77,0,2.3,1.53,19.15,0.77,2.3,3.83,1077.71,0,40.6,2.3,0,0.77,15.32,0,0,0,0.77,0,34.47,1.53,0.77,2.3,2.3,0
120,1.96,0,29.4,1.96,0,293.97,3.92,3.92,1.96,129.35,5.88,1.96,1.96,1.96,0,1.96,3.92,1.96,31.36,0,0,5.88,1297.38,3.92,31.36,3.92,0,0,11.76,0,0,1.96,0,0,31.36,0,1.96,1.96,1.96,0
