stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,0,1,1,0,0,0,0,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0,2.46,0,0.82,11.49,0,0,0,0,0.82,0,0.82,2.46,0,0,0,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0,0,0.81,8.86,0,0,0.81,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,0.57,0,0,0.57,0,0,0,4.59,0,0,2.3,0,0.57,0,0,1.15,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,8.83,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,0.98,3.93,0,0.98,0,0,0,0.98,0,0.98,11.78,0,0.98,1.96,0,0,0,0,4.91,0,0,0.98,0,0.98,1.96,0
 84-94,0,0,0,0,6.37,1.06,3.19,0,0,0,0,1.06,2.12,1.06,4.25,1.06,0,2.12,0,0,0,0,9.56,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,2.19,0,1.09,0,0,1.09,0,5.46,0,1.09,5.46,0,0,4.37,1.09,0,0,0,5.46,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,3.83,3.06,0.77,0,0,2.3,0,2.3,0,0.77,4.6,0.77,0.77,2.3,0,0.77,1.53,0,6.13,0,0,0,1.53,0,0,0
120,0,0,0,0,3.92,0,1.96,0,0,1.96,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
