stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,72.38,0,0,3.15,3.15,9.44,0,9.44,0,0,0,0,0
 14-21,0,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,52,43,0,0,0,0,0,0,0,12,1,11,328,11,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,18.88,0,40.22,96.86,0,0.82,0,0,0,0,0,0,0,0,4.93,35.3,0,0,4.1,0
 36-46,0,0,0,0.81,0,0,13.7,0,0.81,0,0,0,0,0,0,0,0,23.36,0,16.92,168.38,0,1.61,0,0,0,0.81,0,0,0,0,0,70.9,0,0.81,1.61,0
 48-58,0,0.57,0,1.72,0,0,32.13,0,0,2.3,0,0,0,0,0,0,0,27.54,0.57,10.33,293.79,0,0,0.57,0,0,0,0,0,0.57,0,0,60.25,0,0,2.3,0
 60-70,0,0,0,1.96,0,0,69.69,0.98,0,3.93,0.98,0,0,0,0,0,0,43.19,0,4.91,518.24,0,0,0,0,0,0.98,0,0,0.98,0,0,66.74,0,0,8.83,0
 72-82,0,4.91,0,1.96,0,0.98,97.18,0,0,10.8,0,0,0.98,0,0,0,0,78.53,0.98,12.76,648.88,0,1.96,0.98,0,0.98,0,0,0,2.94,0,0,54.97,0,0,35.34,0
 84-94,0,6.37,0,3.19,0,4.25,69.03,1.06,1.06,7.43,2.12,0,0,0,0,0,0,49.92,1.06,3.19,278.25,0,1.06,2.12,0,0,2.12,0,0,7.43,0,0,20.18,0,2.12,23.36,0
 96-106,0,1.09,0,3.28,2.19,0,41.53,0,0,17.49,1.09,0,2.19,0,1.09,0,3.28,65.57,1.09,6.56,289.6,1.09,1.09,1.09,0,1.09,4.37,0,0,5.46,0,0,16.39,0,1.09,57.92,0
108-118,0,1.53,0,6.13,1.53,8.43,29.87,1.53,0.77,22.98,1.53,0,0.77,0.77,0,0.77,0,54.38,0,1.53,265.02,0,0.77,0.77,0,0,0,0,0,3.83,0,0,8.43,0.77,0,39.06,0.77
120,0,1.96,0,3.92,0,0,35.28,0,1.96,17.64,5.88,1.96,0,1.96,0,0,1.96,27.44,0,5.88,305.73,0,1.96,0,0,0,0,0,0,3.92,0,0,19.6,0,0,29.4,0
