stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,9,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,0,0,5,16,1,1,0,2,0,1,0,5,1,0,6,6,0,3,0,0
 24-34,0,0,0.82,0,9.85,4.1,0,3.28,0,0.82,0,0.82,0,0,4.93,0.82,0,0,0,0,13.13,0,0,8.21,32.83,0.82,0,3.28,0,0,0.82,0,0.82,4.1,0,0.82,13.95,0,28.73,0,0
 36-46,0,0,0,0,8.86,0.81,0,4.03,0,0.81,0.81,5.64,0.81,0,4.83,0,0,0,0,0,24.98,0,0,1.61,56.4,4.83,0,3.22,0,0,0,0,0,0,2.42,0,12.09,0,8.86,0,0
 48-58,0,0,0,0,6.31,0.57,0,12.05,0,0.57,0.57,9.18,0,0,3.44,0,0,0,1.15,0,41.31,0,1.15,8.03,56.81,3.44,0,5.16,0,0,0,0,0,0,0.57,0,15.49,0,4.02,0,0
 60-70,0,0,0,0,1.96,0,0,22.58,0,0.98,1.96,11.78,0,0.98,0.98,0.98,0.98,0,0.98,0,44.17,0,7.85,10.8,98.15,3.93,0,1.96,0,0,0,0,0,0.98,0,0,10.8,1.96,1.96,0,0
 72-82,0,0,0.98,0,10.8,0.98,0,28.47,0,0.98,1.96,38.28,4.91,0,1.96,1.96,0.98,0,1.96,0,120.74,0.98,4.91,11.78,136.45,2.94,0,9.82,0,0,0,0,0,0,0,0,12.76,2.94,10.8,2.94,0.98
 84-94,0,0,0,0,18.05,1.06,0,38.23,1.06,3.19,2.12,21.24,2.12,0,1.06,1.06,1.06,1.06,2.12,0,75.4,0,5.31,2.12,72.22,4.25,1.06,8.5,0,1.06,1.06,0,0,1.06,0,0,4.25,3.19,4.25,1.06,0
 96-106,0,0,1.09,0,20.76,0,2.19,18.58,0,3.28,4.37,29.51,2.19,1.09,1.09,1.09,3.28,1.09,3.28,0,81.96,0,3.28,5.46,93.98,7.65,5.46,9.84,0,0,4.37,1.09,0,1.09,0,0,8.74,2.19,20.76,0,0
108-118,0,0,1.53,0,26.04,0,0,18.38,0,3.83,2.3,20.68,5.36,0,0.77,2.3,3.83,1.53,2.3,1.53,72,0,2.3,8.43,111.06,5.36,1.53,12.26,0,2.3,0.77,0,0,0.77,0,0,0.77,5.36,5.36,2.3,0
120,0,0,1.96,0,29.4,0,0,21.56,0,7.84,0,17.64,0,0,0,3.92,1.96,1.96,3.92,3.92,74.47,1.96,3.92,5.88,148.94,9.8,0,9.8,0,1.96,1.96,0,0,3.92,0,0,0,0,3.92,3.92,0
